,PL9AB7~1,
Wavenumbers [1/cm],Intensity,
432.484,4234.3315,
429.573,4211.2049,
426.663,4167.1167,
423.752,4110.4962,
420.842,3962.8247,
417.931,3803.0802,
415.020,3762.8872,
412.110,4030.002,
409.199,4217.0085,
406.289,4303.5965,
403.378,4285.3771,
400.468,4249.0893,
397.557,4251.382,
394.646,4290.3572,
391.736,4362.2384,
388.825,4416.5431,
385.915,4405.8903,
383.004,4386.7831,
380.094,4401.3005,
377.183,4475.7957,
374.272,4544.2647,
371.362,4598.6277,
368.451,4631.3146,
365.541,4611.8007,
362.630,4614.1474,
359.719,4634.1145,
356.809,4667.4515,
353.898,4683.1763,
350.988,4671.7679,
348.077,4663.4369,
345.167,4676.5596,
342.256,4697.4775,
339.345,4713.5972,
336.435,4713.0619,
333.524,4687.8658,
330.614,4667.7466,
327.703,4654.3123,
324.793,4662.7097,
321.882,4706.5018,
318.971,4707.2452,
316.061,4735.8222,
313.150,4764.3452,
310.240,4760.6347,
307.329,4796.9465,
304.418,4843.4167,
301.508,4875.5923,
298.597,4853.3798,
295.687,4924.642,
292.776,4944.4999,
289.866,4948.8776,
286.955,5069.2898,
284.044,5182.6399,
281.134,5287.7483,
278.223,5381.9547,
275.313,5453.4297,
272.402,5498.1261,
269.492,5494.1518,
266.581,5441.2342,
263.670,5465.4951,
260.760,5540.4098,
257.849,5623.0302,
254.939,5681.7408,
252.028,5780.2191,
249.117,5811.1044,
246.207,5798.3859,
243.296,5778.6209,
240.386,5747.7684,
237.475,5725.9688,
234.565,5707.7927,
231.654,5658.857,
228.743,5599.0183,
225.833,5540.5475,
222.922,5491.1115,
220.012,5504.2255,
217.101,5508.0093,
214.191,5480.18,
211.280,5389.2471,
208.369,5395.2835,
205.459,5393.9142,
202.548,5392.9039,
199.638,5453.1328,
196.727,5417.6741,
193.816,5418.0207,
190.906,5499.662,
187.995,5475.7692,
185.085,5512.4213,
182.174,5555.2523,
179.264,5528.51,
176.353,5554.9758,
173.442,5566.4242,
170.532,5549.3513,
167.621,5479.4167,
164.711,5367.4745,
161.800,5220.3385,
158.890,5035.3685,
155.979,4629.3671,
153.068,4247.5219,
150.158,3863.233,
147.247,3332.6663,
144.337,2736.0455,
141.426,2131.3918,
138.516,1544.2579,
135.605,1141.0522,
132.694,799.0738,
129.784,520.40324,
126.873,335.18461,
