,PL6EEA~1,
Wavenumbers [1/cm],Intensity,
109.410,37.352382,
106.499,28.094364,
103.589,19.962201,
100.678,14.310135,
97.767,12.177322,
94.857,16.282934,
91.946,15.303224,
89.036,9.883123,
86.125,2.081865,
83.215,2.7796018,
80.304,4.4067019,
77.393,2.2821921,
74.483,14.572564,
71.572,16.414423,
68.662,8.40207,
65.751,11.227874,
62.840,13.088404,
59.930,12.252138,
57.019,5.2013182,
54.109,4.7221608,
51.198,4.5217814,
48.288,3.0910253,
45.377,-1.1292431,
42.466,1.2471934,
39.556,6.6645257,
36.645,3.8557648,
33.735,4.6827454,
30.824,6.7876609,
27.914,8.8911867,
25.003,6.6344501,
22.092,7.0624273,
19.182,11.719954,
16.271,29.906698,
13.361,144.17533,
10.450,328.74439,
7.539,547.3171,
4.629,553.52515,
1.718,362.65375,
-1.192,-105.13023,
-4.103,-198.29682,
-7.013,-152.38203,
-9.924,2.125,
