,PLCF80~1,
Wavenumbers [1/cm],Intensity,
275.313,4726.2794,
272.402,4786.2146,
269.492,4821.4795,
266.581,4836.9291,
263.670,4823.6958,
260.760,4855.3971,
257.849,4898.6533,
254.939,4929.4764,
252.028,4946.5234,
249.117,4978.4573,
246.207,5012.6632,
243.296,5027.304,
240.386,5004.7143,
237.475,4936.9363,
234.565,4851.7509,
231.654,4870.0104,
228.743,4813.4614,
225.833,4737.7756,
222.922,4667.0449,
220.012,4670.6876,
217.101,4694.4479,
214.191,4703.8871,
211.280,4657.3295,
208.369,4616.8703,
205.459,4612.4495,
202.548,4636.5101,
199.638,4657.5539,
196.727,4621.5399,
193.816,4606.6251,
190.906,4641.9416,
187.995,4672.3506,
185.085,4677.6736,
182.174,4681.6692,
179.264,4717.8075,
176.353,4734.6906,
173.442,4734.2613,
170.532,4716.5066,
167.621,4679.0159,
164.711,4536.4319,
161.800,4365.756,
158.890,4216.0526,
155.979,3900.07,
153.068,3556.8788,
150.158,3181.7006,
147.247,2722.2112,
144.337,2232.3157,
141.426,1744.5685,
138.516,1274.2879,
135.605,931.89441,
132.694,638.60627,
129.784,402.81286,
126.873,269.08358,
123.963,182.69171,
121.052,123.14396,
118.141,86.021057,
115.231,75.927015,
112.320,65.096825,
109.410,54.511447,
106.499,47.389895,
103.589,39.712201,
100.678,32.702026,
97.767,27.014526,
94.857,30.339945,
91.946,31.068778,
89.036,28.407327,
86.125,19.187659,
83.215,20.060522,
80.304,19.522942,
77.393,9.6085633,
74.483,18.046889,
71.572,20.338535,
68.662,16.221337,
65.751,19.753593,
62.840,22.801808,
59.930,21.878421,
57.019,10.597109,
54.109,9.4721608,
51.198,11.383046,
48.288,14.801388,
45.377,5.6574734,
42.466,7.6460708,
39.556,14.838933,
36.645,8.5192209,
33.735,5.8365031,
30.824,6.2003218,
27.914,10.407373,
25.003,12.742912,
22.092,13.875,
19.182,13.989414,
16.271,17.486865,
13.361,66.921209,
10.450,132.63462,
7.539,131.23799,
4.629,-43.642842,
1.718,-305.05321,
-1.192,-624.34541,
-4.103,-502.26958,
-7.013,-276.42812,
-9.924,-0.125,
