,PL3EDD~1,
Wavenumbers [1/cm],Intensity,
563.460,1710.9125,
560.549,1718.5487,
557.639,1726.1906,
554.728,1738.4772,
551.818,1736.1362,
548.907,1758.1733,
545.996,1764.4604,
543.086,1750.9539,
540.175,1747.8394,
537.265,1783.839,
534.354,1804.6487,
531.444,1813.8543,
528.533,1820.3424,
525.622,1830.4297,
522.712,1825.9507,
519.801,1839.9552,
516.891,1871.5031,
513.980,1880.7946,
511.070,1897.1206,
508.159,1926.0706,
505.248,1961.6409,
502.338,1995.2802,
499.427,2017.6633,
496.517,2051.9078,
493.606,2074.298,
490.695,2075.946,
487.785,2078.2553,
484.874,2113.5211,
481.964,2110.2,
479.053,2087.8179,
476.143,2126.216,
473.232,2092.6548,
470.321,2067.4337,
467.411,2034.0979,
464.500,1972.3898,
461.590,2042.0722,
458.679,2070.4297,
455.769,2076.9949,
452.858,2080.238,
449.947,2124.546,
447.037,2143.9399,
444.126,2153.2129,
441.216,2155.1115,
438.305,2140.6348,
435.395,2163.5392,
432.484,2189.1276,
429.573,2199.5249,
426.663,2169.1193,
423.752,2128.267,
420.842,1974.6192,
417.931,1803.8681,
415.020,1776.5672,
412.110,1899.2676,
409.199,2013.0846,
406.289,2111.6827,
403.378,2194.5482,
400.468,2171.8683,
397.557,2172.3372,
394.646,2180.433,
391.736,2184.122,
388.825,2230.8843,
385.915,2252.6079,
383.004,2255.3419,
380.094,2245.4312,
377.183,2261.2332,
374.272,2324.2453,
371.362,2375.391,
368.451,2379.4426,
365.541,2376.4405,
362.630,2387.0961,
359.719,2396.0331,
356.809,2395.5312,
353.898,2410.5071,
350.988,2438.4944,
348.077,2447.2991,
345.167,2420.7602,
342.256,2443.1723,
339.345,2406.579,
336.435,2397.217,
333.524,2469.9339,
330.614,2416.2827,
327.703,2401.1652,
324.793,2406.2341,
321.882,2416.6538,
318.971,2428.5489,
316.061,2442.3913,
313.150,2457.475,
310.240,2473.0594,
307.329,2447.8981,
304.418,2460.4227,
301.508,2482.505,
298.597,2463.2541,
295.687,2499.5505,
292.776,2521.7917,
289.866,2543.1941,
286.955,2617.0666,
284.044,2653.5575,
281.134,2713.8001,
278.223,2795.1518,
275.313,2826.0997,
272.402,2819.8451,
269.492,2822.9823,
266.581,2847.8383,
263.670,2822.8421,
260.760,2864.2066,
257.849,2924.0226,
