,PL680D~1,
Wavenumbers [1/cm],Intensity,
167.621,2183.0949,
164.711,2138.6762,
161.800,2051.6713,
158.890,1916.3625,
155.979,1801.6905,
153.068,1692.9484,
150.158,1570.0858,
147.247,1359.7258,
144.337,1098.1839,
141.426,848.71607,
138.516,642.25139,
135.605,478.46413,
132.694,334.31682,
129.784,213.26559,
126.873,133.17105,
123.963,89.559634,
121.052,61.50948,
118.141,42.948028,
115.231,35.769296,
112.320,32.451364,
109.410,29.693316,
106.499,18.298832,
103.589,14.754491,
100.678,13.603378,
97.767,12.892441,
94.857,14.260978,
91.946,10.843891,
89.036,4.7621021,
86.125,4.0528968,
83.215,7.5914425,
80.304,10.396135,
77.393,8.9797948,
74.483,12.150675,
71.572,12.063239,
68.662,8.736465,
65.751,7.3235628,
62.840,10.246914,
59.930,12.189424,
57.019,5.8436863,
54.109,5.4721608,
51.198,7.0814371,
48.288,9.8183756,
45.377,2.7845949,
42.466,4.8216321,
39.556,10.608696,
36.645,2.8846033,
33.735,2.9519939,
30.824,4.2123391,
27.914,2.1088133,
25.003,5.6108249,
22.092,9.4895228,
19.182,13.080946,
16.271,19.376357,
13.361,96.051604,
10.450,226.72054,
7.539,394.31623,
4.629,415.1567,
1.718,329.30225,
-1.192,118.7646,
-4.103,39.007755,
-7.013,3.0508658,
-9.924,-1.125,
