,PLF92A~1,
Wavenumbers [1/cm],Intensity,
746.826,1565.105,
743.916,1606.1577,
741.005,1642.8803,
738.095,1578.742,
735.184,1502.4793,
732.274,1442.5194,
729.363,1429.6003,
726.452,1474.8424,
723.542,1545.2597,
720.631,1571.2966,
717.721,1585.572,
714.810,1594.5511,
711.899,1598.9963,
708.989,1594.1547,
706.078,1613.3563,
703.168,1618.125,
700.257,1611.1113,
697.347,1599.6034,
694.436,1594.1468,
691.525,1594.9506,
688.615,1593.8672,
685.704,1590.5348,
682.794,1586.6569,
679.883,1587.5399,
676.973,1641.2317,
674.062,1627.2398,
671.151,1613.5633,
668.241,1606.9776,
665.330,1584.2763,
662.420,1587.4712,
659.509,1633.84,
656.598,1644.1133,
653.688,1615.9937,
650.777,1591.909,
647.867,1585.5384,
644.956,1554.4058,
642.046,1523.6871,
639.135,1503.4001,
636.224,1493.4234,
633.314,1552.9688,
630.403,1581.7228,
627.493,1596.118,
624.582,1614.3661,
621.672,1660.3018,
618.761,1657.5654,
615.850,1655.574,
612.940,1656.8327,
610.029,1669.9892,
607.119,1729.2115,
604.208,1737.255,
601.297,1725.6621,
598.387,1711.1186,
595.476,1704.788,
592.566,1690.6207,
589.655,1686.8292,
586.745,1689.5967,
583.834,1687.7571,
580.923,1665.0824,
578.013,1658.0197,
575.102,1656.6986,
572.192,1649.9793,
569.281,1643.0302,
566.371,1675.9004,
563.460,1676.3031,
560.549,1671.2268,
557.639,1685.1187,
554.728,1731.3165,
551.818,1686.8385,
548.907,1707.5957,
545.996,1724.0147,
543.086,1717.9507,
540.175,1712.5001,
537.265,1717.195,
534.354,1710.0946,
531.444,1704.7476,
528.533,1713.2973,
525.622,1701.6581,
522.712,1707.0128,
519.801,1721.2901,
516.891,1742.5417,
513.980,1774.2878,
511.070,1815.8641,
508.159,1823.0512,
505.248,1816.8804,
502.338,1829.6838,
499.427,1882.9403,
496.517,1903.9129,
493.606,1897.6843,
490.695,1880.1533,
487.785,1916.3334,
484.874,1922.125,
481.964,1913.8194,
479.053,1890.1742,
476.143,1840.2567,
473.232,1839.2832,
470.321,1854.7223,
467.411,1861.7674,
464.500,1837.3189,
461.590,1844.9763,
458.679,1860.3321,
455.769,1868.9196,
452.858,1865.3976,
449.947,1877.6205,
447.037,1877.0912,
444.126,1890.2826,
441.216,1914.1407,
438.305,1902.7117,
435.395,1901.7806,
432.484,1903.3753,
429.573,1899.4449,
426.663,1875.1204,
423.752,1672.2683,
420.842,1412.041,
417.931,1180.6997,
415.020,1091.2134,
412.110,1454.6632,
409.199,1705.5063,
406.289,1811.3823,
403.378,1762.9022,
400.468,1697.1306,
397.557,1709.0306,
394.646,1773.5239,
391.736,1864.7769,
388.825,1885.1412,
385.915,1894.3182,
383.004,1914.8287,
380.094,1958.7411,
377.183,1951.2163,
374.272,1957.2667,
371.362,1988.2598,
368.451,2046.9912,
365.541,2061.2514,
362.630,2037.813,
359.719,2034.0669,
356.809,2079.3515,
353.898,2083.0955,
350.988,2047.2359,
348.077,2021.6428,
345.167,2033.9519,
342.256,2010.7928,
339.345,2002.5307,
336.435,2010.2855,
333.524,2034.0076,
330.614,2030.2818,
327.703,2034.7725,
324.793,2041.6717,
321.882,2046.1953,
318.971,2075.1896,
316.061,2079.7535,
313.150,2061.1917,
310.240,2019.6332,
307.329,2074.5813,
304.418,2081.1666,
301.508,2074.925,
298.597,2123.0521,
295.687,2110.194,
292.776,2107.125,
289.866,2126.4246,
286.955,2184.7839,
284.044,2210.2025,
281.134,2233.0851,
278.223,2259.0051,
275.313,2285.5319,
272.402,2292.8677,
269.492,2267.5094,
266.581,2209.5995,
263.670,2202.2477,
260.760,2213.707,
257.849,2260.513,
254.939,2358.8533,
252.028,2310.1797,
249.117,2301.1752,
246.207,2333.392,
243.296,2411.7199,
240.386,2450.8156,
237.475,2486.3343,
234.565,2507.2321,
231.654,2444.4191,
228.743,2440.3309,
225.833,2431.2704,
222.922,2397.5711,
220.012,2450.0271,
217.101,2433.7563,
214.191,2417.7026,
211.280,2479.537,
208.369,2482.7794,
205.459,2493.304,
202.548,2502.9801,
199.638,2461.6181,
196.727,2492.8839,
193.816,2518.5127,
190.906,2510.8107,
187.995,2530.3593,
185.085,2529.5593,
182.174,2521.3209,
179.264,2522.0436,
176.353,2521.4842,
173.442,2491.0327,
170.532,2428.8842,
167.621,2349.5769,
164.711,2270.3126,
161.800,2171.6755,
158.890,2035.647,
155.979,1873.6954,
153.068,1704.8558,
150.158,1526.313,
147.247,1321.6966,
144.337,1105.4874,
141.426,874.19976,
138.516,624.00472,
135.605,436.35203,
132.694,291.89075,
129.784,186.16361,
126.873,119.65654,
123.963,90.760106,
121.052,67.793431,
118.141,39.237351,
115.231,38.41443,
112.320,34.312277,
109.410,26.943316,
106.499,15.548832,
103.589,13.685254,
100.678,15.211487,
97.767,18.055237,
94.857,18.125,
91.946,15.303224,
89.036,10.899204,
86.125,9.4807936,
83.215,11.248681,
80.304,10.251808,
77.393,1.7537685,
74.483,5.0558097,
71.572,8.2120563,
68.662,9.709395,
65.751,5.4706885,
62.840,9.4237218,
59.930,11.941135,
57.019,-0.045259119,
54.109,0.51364339,
51.198,0.31534435,
48.288,-3.8070507,
45.377,4.6334861,
42.466,10.186097,
39.556,10.592391,
36.645,-4.8557934,
33.735,-2.1247699,
30.824,3.0205651,
27.914,-0.48531109,
25.003,0.37027495,
22.092,2.4166182,
19.182,5.4911258,
16.271,16.682968,
13.361,78.021827,
10.450,174.75441,
7.539,282.99329,
4.629,59.158412,
1.718,-272.87886,
-1.192,-585.89676,
-4.103,-538.37059,
-7.013,-335.33622,
-9.924,0.125,
