,PLA0AC~1,
Raman shift [1/cm],Intensity,
147.247,8293.5777,
144.337,6883.4228,
141.426,5442.6907,
138.516,3980.9495,
135.605,2880.9731,
132.694,1984.4571,
129.784,1287.552,
126.873,848.46226,
123.963,578.72977,
121.052,402.18122,
118.141,301.52104,
115.231,225.80454,
112.320,173.9432,
109.410,142.80696,
106.499,130.70032,
103.589,125.88398,
100.678,117.06284,
97.767,98.578459,
94.857,88.423153,
91.946,77.272115,
89.036,67.125,
86.125,67.125,
83.215,65.001319,
80.304,61.448971,
77.393,56.491782,
74.483,50.88392,
71.572,47.400296,
68.662,45.640128,
65.751,40.69497,
62.840,42.496914,
59.930,45.937714,
57.019,45.232632,
54.109,39.750552,
51.198,34.616954,
48.288,31.158975,
45.377,35.379243,
42.466,30.94171,
39.556,23.045949,
36.645,28.66347,
33.735,25.971012,
30.824,21.462339,
27.914,19.358813,
25.003,19.747637,
22.092,20.447905,
19.182,21.330946,
16.271,27.626357,
13.361,52.462273,
10.450,87.091262,
7.539,110.13567,
4.629,-102.28046,
1.718,-391.11892,
-1.192,-665.79387,
-4.103,-472.39127,
-7.013,-225.76371,
-9.924,1.125,
