,PL425B~1,
Wavenumbers [1/cm],Intensity,
362.630,3680.5519,
359.719,3713.4597,
356.809,3720.1828,
353.898,3714.9412,
350.988,3741.7093,
348.077,3760.2726,
345.167,3746.4783,
342.256,3726.3074,
339.345,3734.3172,
336.435,3747.3328,
333.524,3749.8758,
330.614,3761.7983,
327.703,3782.4424,
324.793,3807.5227,
321.882,3833.5072,
318.971,3836.481,
316.061,3852.6377,
313.150,3882.5881,
310.240,3927.8571,
307.329,3937.361,
304.418,3953.7226,
301.508,3946.8538,
298.597,3861.7058,
295.687,3842.9869,
292.776,3882.9169,
289.866,3952.1049,
286.955,3978.699,
284.044,4099.5124,
281.134,4164.1674,
278.223,4162.8112,
275.313,4192.2854,
272.402,4231.6115,
269.492,4190.862,
266.581,4052.3934,
263.670,4064.8914,
260.760,4145.8127,
257.849,4242.4193,
254.939,4316.5415,
252.028,4310.2616,
249.117,4338.1074,
246.207,4366.5447,
243.296,4335.7992,
240.386,4377.5564,
237.475,4398.4265,
234.565,4397.1811,
231.654,4420.5534,
228.743,4350.7022,
225.833,4320.8064,
222.922,4375.7821,
220.012,4317.4977,
217.101,4305.8607,
214.191,4311.7515,
211.280,4305.9318,
208.369,4299.4447,
205.459,4303.6865,
202.548,4308.3579,
199.638,4272.8011,
196.727,4293.7346,
193.816,4291.9233,
190.906,4241.3792,
187.995,4294.957,
185.085,4326.2671,
182.174,4347.5518,
179.264,4373.5714,
176.353,4398.9273,
173.442,4452.469,
170.532,4517.1074,
167.621,4453.6615,
164.711,4359.7671,
161.800,4227.83,
158.890,4044.2995,
155.979,3884.1787,
153.068,3669.2016,
150.158,3381.3337,
147.247,2951.2803,
144.337,2502.5143,
141.426,2021.8541,
138.516,1498.5235,
135.605,1081.1855,
132.694,733.92143,
129.784,462.81425,
126.873,310.49159,
123.963,215.76415,
121.052,145.68673,
118.141,90.716276,
115.231,76.999163,
112.320,62.603646,
109.410,48.045605,
106.499,35.226811,
103.589,39.223054,
100.678,41.512161,
97.767,33.691848,
94.857,30.728044,
91.946,29.903111,
89.036,29.483919,
86.125,23.101071,
83.215,20.438159,
80.304,19.978865,
77.393,21.395205,
74.483,23.465405,
71.572,23.775296,
68.662,22.153663,
65.751,18.621407,
62.840,14.609788,
59.930,12.436431,
57.019,15.961841,
54.109,13.514196,
51.198,13.912874,
48.288,19.4547,
45.377,13.827676,
42.466,8.2022453,
39.556,3.5,
36.645,3.5,
33.735,6.6154908,
30.824,9.5,
27.914,9.5,
25.003,8.8773625,
22.092,10.760332,
19.182,14.973694,
16.271,-1.1145789,
13.361,-2.4425043,
10.450,-6.7978373,
7.539,-72.439482,
4.629,-155.07327,
1.718,-172.02605,
-1.192,-27.019987,
-4.103,-29.768432,
-7.013,-30.73106,
-9.924,-1.5,
