,PLEC39~1,
Wavenumbers [1/cm],Intensity,
1340.584,3177.2499,
1337.674,3197.2577,
1334.763,3317.0586,
1331.853,3344.8755,
1328.942,3433.1675,
1326.032,3491.306,
1323.121,3533.1205,
1320.210,3611.9239,
1317.300,3712.106,
1314.389,3823.2652,
1311.479,3900.2911,
1308.568,3972.8011,
1305.657,4096.5005,
1302.747,4204.5526,
1299.836,4350.322,
1296.926,4480.4948,
1294.015,4620.232,
1291.105,4796.8251,
1288.194,4973.3587,
1285.283,5136.5845,
1282.373,5223.3358,
1279.462,5308.136,
1276.552,5419.4648,
1273.641,5518.3685,
1270.731,5555.0627,
1267.820,5521.9226,
1264.909,5513.1538,
1261.999,5509.663,
1259.088,5582.6327,
1256.178,5429.412,
1253.267,5345.4603,
1250.356,5142.4324,
1247.446,4947.2157,
1244.535,4782.3083,
1241.625,4592.0929,
1238.714,4375.6322,
1235.804,4200.7768,
1232.893,4119.3945,
1229.982,4028.4549,
1227.072,3953.314,
1224.161,3868.9926,
1221.251,3784.7606,
1218.340,3693.6276,
1215.430,3662.5054,
1212.519,3641.6455,
1209.608,3598.5969,
1206.698,3574.468,
1203.787,3569.3769,
1200.877,3570.9592,
1197.966,3650.9843,
1195.055,3763.3626,
1192.145,3840.6048,
1189.234,3930.0696,
1186.324,4016.0046,
1183.413,4070.5736,
1180.503,4101.1412,
1177.592,4109.434,
1174.681,4059.3938,
1171.771,4067.7225,
1168.860,4012.3509,
1165.950,4003.7748,
1163.039,3982.7463,
1160.129,3971.0507,
1157.218,3947.8476,
1154.307,3912.0141,
1151.397,3889.218,
1148.486,3885.951,
1145.576,3876.6078,
1142.665,3798.4715,
1139.754,3816.4089,
1136.844,3767.3764,
1133.933,3734.6159,
1131.023,3711.0045,
1128.112,3679.1447,
1125.202,3666.3864,
1122.291,3695.1145,
1119.380,3668.1646,
1116.470,3684.9326,
1113.559,3669.9885,
1110.649,3665,
1107.738,3650.5329,
1104.828,3642.9932,
1101.917,3623.9634,
1099.006,3573.041,
1096.096,3624.355,
1093.185,3613.8189,
1090.275,3660.7469,
1087.364,3700.8172,
1084.453,3736.4986,
1081.543,3779.4168,
1078.632,3816.3875,
1075.722,3815.4686,
1072.811,3773.599,
1069.901,3824.2482,
1066.990,3767.3751,
1064.079,3753.6805,
1061.169,3757.3138,
1058.258,3764.6583,
1055.348,3764.5329,
1052.437,3757.8554,
1049.527,3803.6378,
1046.616,3820.1455,
1043.705,3802.7309,
1040.795,3783.5914,
1037.884,3829.6082,
1034.974,3888.7036,
1032.063,3908.1074,
1029.153,3935.1425,
1026.242,3944.657,
1023.331,3974.9981,
1020.421,3968.4522,
1017.510,3989.333,
1014.600,4051.8701,
1011.689,4107.2896,
1008.778,4106.0788,
1005.868,4124.8108,
1002.957,4215.148,
1000.047,4394.9841,
997.136,4581.513,
994.226,4667.6616,
991.315,4675.4381,
988.404,4680.787,
