,PLC19D~1,
Wavenumbers [1/cm],Intensity,
447.037,8914.25,
444.126,8994.8439,
441.216,9139.2613,
438.305,9179.6437,
435.395,9195.7402,
432.484,9237.0907,
429.573,9276.5999,
426.663,9230.9914,
423.752,9039.6443,
420.842,8842.7084,
417.931,8690.1672,
415.020,8637.0821,
412.110,9242.4889,
409.199,9631.02,
406.289,9811.6294,
403.378,9833.7198,
400.468,9677.2289,
397.557,9689.9762,
394.646,9812.8156,
391.736,9985.5639,
388.825,9995.3689,
385.915,9959.9321,
383.004,9973.6502,
380.094,10094.323,
377.183,10134.957,
374.272,10216.811,
371.362,10307.154,
368.451,10382.344,
365.541,10400.357,
362.630,10486.094,
359.719,10537.564,
356.809,10498.709,
353.898,10473.25,
350.988,10487.949,
348.077,10496.957,
345.167,10475.461,
342.256,10499.367,
339.345,10538.667,
336.435,10554.481,
333.524,10523.904,
330.614,10608.107,
327.703,10648.112,
324.793,10690.123,
321.882,10773.337,
318.971,10809.022,
316.061,10929.167,
313.150,11065.114,
310.240,11138.584,
307.329,11259.165,
304.418,11373.275,
301.508,11436.708,
298.597,11374.513,
295.687,11345.547,
292.776,11385.5,
289.866,11474.065,
286.955,11553.847,
284.044,11713.255,
281.134,11823.689,
278.223,11877.321,
275.313,11959.849,
272.402,12049.863,
269.492,12089.893,
266.581,12069.293,
263.670,12153.839,
260.760,12314.07,
257.849,12479.054,
254.939,12595.741,
252.028,12668.911,
249.117,12741.476,
246.207,12807.751,
243.296,12856.066,
240.386,12913.489,
237.475,12923.193,
234.565,12895.515,
231.654,12903.55,
228.743,12910.428,
225.833,12916.079,
222.922,12925.278,
220.012,13033.104,
217.101,13129.589,
214.191,13193.687,
211.280,13195.142,
208.369,13171.029,
205.459,13148.47,
202.548,13135.008,
199.638,13150.972,
196.727,13142.149,
193.816,13148.903,
190.906,13184.234,
187.995,13155.273,
185.085,13230.364,
182.174,13331.518,
179.264,13354.647,
176.353,13383.522,
173.442,13383.748,
170.532,13351.193,
167.621,13290.631,
164.711,13087.673,
161.800,12750.901,
158.890,12257.888,
155.979,11581.72,
153.068,10711.761,
150.158,9646.598,
147.247,8332.0274,
144.337,6887.7248,
141.426,5434.9798,
138.516,4028.4391,
135.605,2894.4089,
132.694,1975.1058,
129.784,1275.0392,
126.873,878.85723,
123.963,604.76615,
121.052,409.24096,
118.141,285.73592,
115.231,244.74749,
112.320,199.86639,
109.410,156.75028,
106.499,133.24915,
103.589,119.28593,
100.678,107.08919,
97.767,93.581374,
94.857,90.478044,
91.946,88.846889,
89.036,86.556531,
86.125,75.918452,
83.215,67.409876,
80.304,62.25,
77.393,62.25,
74.483,57.664055,
71.572,50.901775,
68.662,44.011942,
65.751,51.782904,
62.840,49.43298,
59.930,44.25,
57.019,44.25,
54.109,35.292587,
51.198,30.758046,
48.288,34.210363,
45.377,29.286716,
42.466,29.311097,
39.556,31.674407,
36.645,28.163456,
33.735,26.730752,
30.824,24.482904,
27.914,18.873502,
25.003,22.608462,
22.092,22.020954,
19.182,14.632163,
16.271,-4.2540709,
13.361,-88.455352,
10.450,-289.90181,
7.539,-848.5541,
4.629,-1394.9345,
1.718,-1690.141,
-1.192,-1427.3175,
-4.103,-903.36072,
-7.013,-408.59289,
-9.924,-0.75,
