,PLCF6D~1,
Raman shift [1/cm],Intensity,
39.556,27.06917,
36.645,22.153838,
33.735,19.317255,
30.824,16.549678,
27.914,12.342627,
25.003,16.8561,
22.092,16.32305,
19.182,8.9894143,
16.271,12.486865,
13.361,39.583937,
10.450,49.514961,
7.539,-97.829581,
4.629,-385.50996,
1.718,-687.33264,
-1.192,-909.72175,
-4.103,-662.24305,
-7.013,-336.97817,
-9.924,-0.125,
