,PL12AC~1,
Wavenumbers [1/cm],Intensity,
528.533,6042.2692,
525.622,6060.116,
522.712,6137.4172,
519.801,6191.492,
516.891,6224.2237,
513.980,6334.1737,
511.070,6363.7217,
508.159,6486.1384,
505.248,6647.8033,
502.338,6759.0392,
499.427,6794.5435,
496.517,6893.9393,
493.606,7008.0899,
490.695,7091.1159,
487.785,7048.7774,
484.874,7137.6411,
481.964,7115.6652,
479.053,7024.0539,
476.143,7078.5793,
473.232,7021.5701,
470.321,7008.2181,
467.411,7013.6815,
464.500,7000.5793,
461.590,7102.4228,
458.679,7178.8756,
455.769,7234.0683,
452.858,7278.067,
449.947,7365.1552,
447.037,7424.8665,
444.126,7493.7757,
441.216,7573.5987,
438.305,7623.1243,
435.395,7649.6691,
432.484,7705.8427,
429.573,7750.4748,
426.663,7666.8593,
423.752,7368.4788,
420.842,7068.4593,
417.931,6885.4861,
415.020,6968.1471,
412.110,7607.5034,
409.199,7940.7554,
406.289,8041.3103,
403.378,8029.6824,
400.468,7935.9391,
397.557,7920.3962,
394.646,7995.4108,
391.736,8164.5594,
388.825,8244.5079,
385.915,8252.5664,
383.004,8240.9988,
380.094,8252.4878,
377.183,8379.6563,
374.272,8472.5347,
371.362,8497.7481,
368.451,8449.249,
365.541,8568.5842,
362.630,8622.8496,
359.719,8675.6282,
356.809,8755.1908,
353.898,8708.7654,
350.988,8711.1896,
348.077,8724.5808,
345.167,8724.6377,
342.256,8697.7432,
339.345,8693.1886,
336.435,8704.0502,
333.524,8726.1979,
330.614,8764.2008,
327.703,8823.7467,
324.793,8874.6714,
321.882,8891.2001,
318.971,8973.7223,
316.061,9040.5768,
313.150,9106.4047,
310.240,9188.0374,
307.329,9320.3493,
304.418,9370.6321,
301.508,9345.3692,
298.597,9256.5191,
295.687,9238.1642,
292.776,9293.8337,
289.866,9393.4792,
286.955,9462.1807,
284.044,9575.0974,
281.134,9667.9556,
278.223,9733.7003,
275.313,9800.0173,
272.402,9809.9337,
269.492,9804.4652,
266.581,9802.5209,
263.670,9851.778,
260.760,9944.3575,
257.849,10078.617,
254.939,10257.684,
252.028,10315.012,
249.117,10329.604,
246.207,10338.479,
243.296,10402.166,
240.386,10433.161,
237.475,10443.695,
234.565,10445.982,
231.654,10483.962,
228.743,10463.232,
225.833,10447.488,
222.922,10460.068,
220.012,10461.525,
217.101,10511.072,
214.191,10578.173,
211.280,10632.006,
208.369,10683.097,
205.459,10682.045,
202.548,10643.493,
199.638,10628.98,
196.727,10683.622,
193.816,10723.291,
190.906,10717.533,
187.995,10732.738,
185.085,10739.891,
182.174,10770.207,
179.264,10874.286,
176.353,10890.485,
173.442,10928.531,
170.532,10979.659,
167.621,10882.327,
164.711,10651.554,
161.800,10322.245,
158.890,9898.3251,
155.979,9377.4756,
153.068,8696.5749,
150.158,7846.1909,
147.247,6759.9291,
144.337,5590.6458,
141.426,4438.591,
138.516,3352.5008,
135.605,2368.703,
132.694,1612.8429,
129.784,1062.4057,
126.873,715.5677,
123.963,489.07478,
121.052,329.92306,
118.141,226.40727,
115.231,184.78692,
112.320,149.36002,
109.410,121.27289,
106.499,107.02979,
103.589,99.517964,
100.678,92.74054,
97.767,84.209289,
94.857,71.526197,
91.946,66.403111,
89.036,65.983919,
86.125,59.601071,
83.215,52.159876,
80.304,45.563404,
77.393,41.314384,
74.483,42.965405,
71.572,43.275296,
68.662,42.069267,
65.751,42.775719,
62.840,40.109788,
59.930,37,
57.019,37,
54.109,28.042587,
51.198,26.22253,
48.288,35.943376,
45.377,28.909595,
42.466,21.877807,
39.556,16.920949,
36.645,22.53847,
33.735,21.923006,
30.824,18.012017,
27.914,11.70144,
25.003,21.584837,
22.092,25.093859,
19.182,18.450811,
16.271,1.6630481,
13.361,-19.751029,
10.450,-81.826036,
7.539,-324.83978,
4.629,-598.66059,
1.718,-758.3682,
-1.192,-635.67076,
-4.103,-426.15343,
-7.013,-210.09731,
-9.924,-2,
