,PL93DE~1,
Raman shift [1/cm],Intensity,
225.833,4786.5163,
222.922,4707.9981,
220.012,4648.9852,
217.101,4573.3177,
214.191,4525.2409,
211.280,4560.1591,
208.369,4479.994,
205.459,4424.1792,
202.548,4401.3767,
199.638,4405.005,
196.727,4393.0732,
193.816,4400.0052,
190.906,4436.2263,
187.995,4392.7848,
185.085,4420.307,
182.174,4454.6258,
179.264,4406.2005,
176.353,4429.5851,
173.442,4438.8614,
170.532,4422.7177,
167.621,4388.1108,
164.711,4354.0483,
161.800,4282.5971,
158.890,4138.6516,
155.979,3907.8492,
153.068,3606.5791,
150.158,3241.4387,
147.247,2816.411,
144.337,2328.6143,
141.426,1837.2681,
138.516,1369.1381,
135.605,987.83258,
132.694,681.44798,
129.784,444.11307,
126.873,281.7786,
123.963,191.27392,
121.052,136.70172,
118.141,108.85954,
115.231,82.458897,
112.320,68.360913,
109.410,61.841026,
106.499,51.870853,
103.589,44.70771,
100.678,40.75,
97.767,40.75,
94.857,31.741142,
91.946,27.346889,
89.036,26.18551,
86.125,22.639484,
83.215,26.528283,
80.304,27.876808,
77.393,19.378769,
74.483,18.75,
71.572,19.112352,
68.662,19.403663,
65.751,15.871407,
62.840,17.640212,
59.930,19.25171,
57.019,13.611055,
54.109,6.7783915,
51.198,4.5596557,
48.288,8.8575864,
45.377,22.22177,
42.466,23.627807,
39.556,17.980237,
36.645,19.384618,
33.735,19.230752,
30.824,18.75,
27.914,18.75,
25.003,13.7689,
22.092,12.687427,
19.182,17.436486,
16.271,38.42119,
13.361,155.0647,
10.450,356.99406,
7.539,666.34777,
4.629,794.76822,
1.718,698.2031,
-1.192,236.69342,
-4.103,58.64678,
-7.013,-11.86553,
-9.924,2.75,
