,PLD00A~1,
Wavenumbers [1/cm],Intensity,
158.890,10954.349,
155.979,10353.913,
153.068,9571.1048,
150.158,8599.9629,
147.247,7382.3159,
144.337,6186.0014,
141.426,4965.9022,
138.516,3697.7216,
135.605,2634.6623,
132.694,1798.2291,
129.784,1174.1441,
126.873,789.40423,
123.963,531.86791,
121.052,351.93188,
118.141,240.56317,
115.231,200.33306,
112.320,169.72138,
109.410,144.39808,
106.499,114.48756,
103.589,104.20322,
100.678,96.235809,
97.767,83.438933,
94.857,73.423153,
91.946,73.55922,
89.036,78.092838,
86.125,65.327143,
83.215,55.753956,
80.304,51.561596,
77.393,55.810616,
74.483,50.88392,
71.572,45.226183,
68.662,39.986465,
65.751,38.573563,
62.840,37.161596,
59.930,35.750428,
57.019,34.340264,
54.109,24.570426,
51.198,21.744311,
48.288,30.062713,
45.377,22.325554,
42.466,20.361658,
39.556,22.815711,
36.645,27.028853,
33.735,25.009509,
30.824,21.462339,
27.914,19.358813,
25.003,21.61555,
22.092,20.541764,
19.182,14.369866,
16.271,-8.7133088,
13.361,-109.33138,
10.450,-323.21447,
7.539,-836.47627,
4.629,-1364.3473,
1.718,-1662.8877,
-1.192,-1431.4357,
-4.103,-930.93115,
-7.013,-437.46906,
-9.924,-3.875,
