,PLECFE~1,
Wavenumbers [1/cm],Intensity,
810.859,3736.6392,
807.949,3708.0963,
805.038,3701.958,
802.127,3687.1417,
799.217,3693.2039,
796.306,3676.4526,
793.396,3669.9257,
790.485,3675.5903,
787.574,3651.9883,
784.664,3737.28,
781.753,3756.1049,
778.843,3790.0954,
775.932,3826.5277,
773.022,3830.5944,
770.111,3816.6956,
767.200,3768.5486,
764.290,3720.811,
761.379,3707.3844,
758.469,3712.2403,
755.558,3668.5069,
752.648,3660.3608,
749.737,3626.7633,
746.826,3587.3714,
743.916,3532.4314,
741.005,3442.5357,
738.095,3316.6948,
735.184,3228.0989,
732.274,3205.0608,
729.363,3285.3932,
726.452,3455.4075,
723.542,3580.8635,
720.631,3633.6223,
717.721,3652.9056,
714.810,3661.6988,
711.899,3680.4728,
708.989,3726.4675,
706.078,3709.1213,
703.168,3687.1406,
700.257,3659.6597,
697.347,3638.2716,
694.436,3644.2955,
691.525,3664.3907,
688.615,3665.6054,
685.704,3649.0724,
682.794,3638.8776,
679.883,3670.1917,
676.973,3702.2466,
674.062,3699.8169,
671.151,3682.9151,
668.241,3668.703,
665.330,3670.5399,
662.420,3644.9805,
659.509,3656.8931,
656.598,3668.9137,
653.688,3693.604,
650.777,3766.264,
647.867,3751.9301,
644.956,3676.9286,
642.046,3590.8756,
639.135,3558.9992,
636.224,3661.6824,
633.314,3648.1854,
630.403,3651.8445,
627.493,3659.8226,
624.582,3663.514,
621.672,3657.97,
618.761,3600.7546,
615.850,3629.033,
612.940,3664.3593,
610.029,3666.3261,
607.119,3705.8077,
604.208,3652.9489,
601.297,3633.2396,
598.387,3664.2667,
595.476,3729.1846,
592.566,3691.4053,
589.655,3639.3977,
586.745,3612.1462,
583.834,3605.8954,
580.923,3595.5131,
578.013,3556.2764,
575.102,3554.9274,
572.192,3585.6881,
569.281,3623.5478,
566.371,3594.5907,
563.460,3600.2156,
560.549,3606.1864,
557.639,3613.8527,
554.728,3629.2281,
551.818,3652.6376,
548.907,3728.4419,
545.996,3767.5294,
543.086,3749.6974,
540.175,3712.3224,
537.265,3719.1656,
534.354,3740.8109,
531.444,3759.586,
528.533,3764.8954,
525.622,3809.1244,
522.712,3854.5484,
519.801,3903.7179,
516.891,3951.3842,
513.980,3979.2588,
511.070,4013.4456,
508.159,4056.8367,
505.248,4126.3029,
502.338,4237.964,
499.427,4313.6036,
496.517,4380.1338,
493.606,4427.1907,
490.695,4451.7827,
487.785,4466.4087,
484.874,4481.6745,
481.964,4461.7569,
479.053,4430.5527,
476.143,4458.9674,
473.232,4367.9469,
470.321,4338.0755,
467.411,4349.0554,
464.500,4363.2239,
461.590,4421.4201,
458.679,4466.9156,
455.769,4518.7907,
452.858,4583.9653,
449.947,4624.4537,
447.037,4666.1218,
444.126,4709.5621,
441.216,4754.2904,
438.305,4797.7205,
435.395,4769.0013,
432.484,4798.2597,
429.573,4847.5323,
426.663,4773.7987,
423.752,4529.2327,
420.842,4216.5878,
417.931,3994.4681,
415.020,4088.5045,
412.110,4577.5411,
409.199,4885.3342,
406.289,4991.4784,
403.378,4901.4785,
400.468,4821.3431,
397.557,4860.0187,
394.646,4965.192,
391.736,5084.9532,
388.825,5060.0636,
385.915,5021.8828,
383.004,5040.7225,
380.094,5157.0168,
377.183,5181.8486,
374.272,5250.627,
371.362,5306.5763,
368.451,5316.6618,
365.541,5331.6725,
362.630,5347.7673,
359.719,5393.858,
356.809,5474.8113,
353.898,5393.1923,
350.988,5409.809,
348.077,5437.8131,
345.167,5425.6743,
342.256,5424.1802,
339.345,5418.9671,
336.435,5422.245,
333.524,5441.4681,
330.614,5432.5263,
327.703,5463.1213,
324.793,5508.4129,
321.882,5547.7644,
318.971,5553.712,
316.061,5590.9086,
313.150,5641.6071,
310.240,5686.1341,
307.329,5731.3429,
304.418,5758.325,
301.508,5752.4207,
298.597,5687.264,
295.687,5633.6659,
292.776,5612,
289.866,5642.8641,
286.955,5781.0058,
284.044,5848.82,
281.134,5927.1091,
278.223,6015.9834,
275.313,6038.0891,
272.402,6072.957,
269.492,6036.4491,
266.581,5912.4316,
263.670,5935.9574,
260.760,6025.2866,
257.849,6129.7489,
254.939,6212.6776,
252.028,6223.8838,
249.117,6215.8725,
246.207,6218.2287,
243.296,6281.9159,
240.386,6305.7278,
237.475,6332.4226,
234.565,6350.742,
231.654,6287.1987,
228.743,6288.1342,
225.833,6275.273,
222.922,6221.1385,
220.012,6208.0245,
217.101,6226.8136,
214.191,6225.8341,
211.280,6142.9034,
208.369,6179.81,
205.459,6162.422,
202.548,6101.4909,
199.638,6082.6241,
196.727,6112.1705,
193.816,6151.1991,
190.906,6183.6072,
187.995,6151.0261,
185.085,6187.5084,
182.174,6250.1524,
179.264,6284.8452,
