,PLD8DD~1,
Wavenumbers [1/cm],Intensity,
249.117,10719.937,
246.207,10751.842,
243.296,10786.979,
240.386,10890.658,
237.475,10963.728,
234.565,10988.963,
231.654,10945.87,
228.743,10926.969,
225.833,10908.774,
222.922,10887.351,
220.012,10964.578,
217.101,10971.594,
214.191,10971.765,
211.280,11035.054,
208.369,11049.842,
205.459,11053.552,
202.548,11048.742,
199.638,11031.326,
196.727,11068.661,
193.816,11093.934,
190.906,11085.239,
187.995,11156.193,
185.085,11197.773,
182.174,11232.225,
179.264,11289.323,
176.353,11328.43,
173.442,11353.276,
170.532,11364.414,
167.621,11361.53,
164.711,11118.989,
161.800,10797.037,
158.890,10493.312,
155.979,9846.761,
153.068,9119.0475,
150.158,8286.9866,
147.247,7189.2376,
144.337,6005.6854,
141.426,4787.4455,
138.516,3552.9588,
135.605,2547.6306,
132.694,1750.5353,
129.784,1147.4903,
126.873,761.32023,
123.963,520.56501,
121.052,358.08951,
118.141,258.14323,
115.231,205.16779,
112.320,164.68638,
109.410,133.84121,
106.499,108.20362,
103.589,102.18975,
100.678,97.404053,
97.767,86.029052,
94.857,75.355164,
91.946,72.765554,
89.036,73.717838,
86.125,60.952143,
83.215,50.848035,
80.304,45.468298,
77.393,47.592808,
74.483,48.405135,
71.572,44.764127,
68.662,37.403663,
65.751,33.871407,
62.840,36.603616,
59.930,40.75,
57.019,40.75,
54.109,32.986909,
51.198,27.75,
48.288,27.710363,
45.377,22.786716,
42.466,22.398877,
39.556,24.174407,
36.645,20.663456,
33.735,18.711503,
30.824,17.087339,
27.914,14.983813,
25.003,22.844287,
22.092,25.812573,
19.182,21.177928,
16.271,3.6906751,
13.361,-40.75976,
10.450,-127.82617,
7.539,-334.52752,
4.629,-608.20444,
1.718,-785.17088,
-1.192,-690.35922,
-4.103,-450.37394,
-7.013,-211.13122,
-9.924,-0.25,
