,PLBFB8~1,
Wavenumbers [1/cm],Intensity,
33.735,9.2404908,
30.824,11.683226,
27.914,10.280876,
25.003,9.5023625,
22.092,7.1875727,
19.182,2.7817571,
16.271,-7.7105949,
13.361,-33.369357,
10.450,-107.94616,
7.539,-369.81442,
4.629,-761.61076,
1.718,-1021.8978,
-1.192,-881.77172,
-4.103,-600.14644,
-7.013,-300.36147,
-9.924,-3.875,
