,PL5BD3~1,
Raman shift [1/cm],Intensity,
153.068,1224.7842,
150.158,1115.3148,
147.247,973.16026,
144.337,828.85686,
141.426,672.43479,
138.516,497.51333,
135.605,356.74329,
132.694,242.28495,
129.784,153.76853,
126.873,98.703533,
123.963,66.444405,
121.052,47.100529,
118.141,38.533705,
115.231,22.156882,
112.320,18.041816,
109.410,20.409158,
106.499,14.711916,
103.589,14.060254,
100.678,13.685135,
97.767,11.552322,
94.857,8.0350548,
91.946,9.3217761,
89.036,12.258123,
86.125,4.456865,
83.215,5.6855221,
80.304,8.2605673,
77.393,7.5523974,
74.483,8.8102699,
71.572,9.5,
68.662,9.0151275,
65.751,4.06997,
62.840,4.4268079,
59.930,8.5601482,
57.019,16.31605,
54.109,10.33407,
51.198,5.5,
48.288,5.5056624,
45.377,6.2090405,
42.466,8.973316,
39.556,12.615119,
36.645,13.317309,
33.735,7.2690184,
30.824,1.9417739,
27.914,3.3441244,
25.003,5.3679124,
22.092,4.8854772,
19.182,1.9805401,
16.271,16.669833,
13.361,87.825986,
10.450,191.44201,
7.539,272.44659,
4.629,204.17578,
1.718,32.193553,
-1.192,-255.72714,
-4.103,-267.58555,
-7.013,-174.88636,
-9.924,0.5,
