,PLA93A~1,
Wavenumbers [1/cm],Intensity,
112.320,105.63819,
109.410,87.454671,
106.499,76.772343,
103.589,66.656437,
100.678,59.413513,
97.767,56.569763,
94.857,51.649077,
91.946,46.678224,
89.036,41.596817,
86.125,35.923175,
83.215,33.96908,
80.304,33.5,
77.393,33.5,
74.483,34.155135,
71.572,32.325887,
68.662,28.153663,
65.751,24.621407,
62.840,23.981702,
59.930,25.436431,
57.019,28.961841,
54.109,21.139748,
51.198,17.611265,
48.288,22.437713,
45.377,14.700554,
42.466,11.912219,
39.556,12.269763,
36.645,10.865382,
33.735,11.538497,
30.824,13.162661,
27.914,15.266187,
25.003,16.122637,
22.092,15.854191,
19.182,14.01946,
16.271,-0.6698329,
13.361,-33.894768,
10.450,-121.13837,
7.539,-409.54262,
4.629,-739.56454,
1.718,-951.34523,
-1.192,-862.80788,
-4.103,-585.94843,
-7.013,-288.93876,
-9.924,-1.5,
