,PL12CC~1,
Wavenumbers [1/cm],Intensity,
348.077,1501.4947,
345.167,1458.7488,
342.256,1483.402,
339.345,1495.8143,
336.435,1490.2291,
333.524,1463.3591,
330.614,1458.8881,
327.703,1484.7105,
324.793,1515.398,
321.882,1529.4766,
318.971,1519.8118,
316.061,1501.8506,
313.150,1500.1262,
310.240,1543.911,
307.329,1550.5025,
304.418,1580.3131,
301.508,1603.6538,
298.597,1566.633,
295.687,1536.4104,
292.776,1527.25,
289.866,1542.1528,
286.955,1587.9538,
284.044,1633.715,
281.134,1682.4202,
278.223,1730.5957,
275.313,1758.5962,
272.402,1761.0146,
269.492,1753.7472,
266.581,1736.9837,
263.670,1645.8214,
260.760,1681.6636,
257.849,1760.3133,
254.939,1822.6933,
252.028,1782.9647,
249.117,1781.6617,
246.207,1802.667,
243.296,1818.7718,
240.386,1792.4214,
237.475,1804.7773,
234.565,1847.9248,
231.654,1844.2729,
228.743,1811.8548,
225.833,1784.8412,
222.922,1776.0244,
220.012,1765.8246,
217.101,1774.2772,
214.191,1766.3924,
211.280,1699.4659,
208.369,1685.7534,
205.459,1657.545,
202.548,1632.1546,
199.638,1693.8348,
196.727,1692.0946,
193.816,1665.2448,
190.906,1624.7827,
187.995,1547.3121,
185.085,1580.0798,
182.174,1623.5816,
179.264,1539.018,
176.353,1523.0922,
173.442,1544.5165,
170.532,1576.487,
167.621,1473.3875,
164.711,1432.8864,
161.800,1369.3979,
158.890,1216.8157,
155.979,1164.9937,
153.068,1090.8203,
150.158,982.42891,
147.247,811.55627,
144.337,666.43325,
141.426,529.55195,
138.516,394.05951,
135.605,273.56567,
132.694,189.32334,
129.784,129.93231,
126.873,70.576535,
123.963,52.240229,
121.052,39.284613,
118.141,18.581455,
115.231,14.947148,
112.320,13.076364,
109.410,12.090934,
106.499,9.9544685,
103.589,9.5,
100.678,8.4135132,
97.767,5.5697629,
94.857,4.807011,
91.946,6.5155544,
89.036,9.3871021,
86.125,8.6778968,
83.215,11.685522,
80.304,9.950779,
77.393,-3.5044498,
74.483,5.9821593,
71.572,9.6882394,
68.662,6.084395,
65.751,1.8456885,
62.840,4.8353179,
59.930,7.8144242,
57.019,1.4686863,
54.109,-3.0829651,
51.198,-3.3887351,
48.288,1.5226498,
45.377,4.336162,
