,PL1DEA~1,
Wavenumbers [1/cm],Intensity,
249.117,1199.8248,
246.207,1189.2009,
243.296,1194.3251,
240.386,1224.2596,
237.475,1236.8015,
234.565,1234.1757,
231.654,1248.7834,
228.743,1252.4504,
225.833,1231.2274,
222.922,1181.5013,
220.012,1173.4872,
217.101,1192.9572,
214.191,1198.3902,
211.280,1140.1932,
208.369,1167.4972,
205.459,1170.099,
202.548,1160.6522,
199.638,1217.2528,
196.727,1168.9485,
193.816,1153.1711,
190.906,1215.0658,
187.995,1106.4621,
185.085,1091.0992,
182.174,1108.4314,
179.264,1080.9663,
176.353,1095.176,
173.442,1115.0266,
170.532,1118.0898,
167.621,991.19805,
164.711,982.10225,
161.800,958.17973,
158.890,821.43148,
155.979,752.56622,
153.068,673.02055,
150.158,587.85891,
147.247,528.98682,
144.337,455.09232,
141.426,357.12581,
138.516,227.36849,
135.605,180.56669,
132.694,133.05557,
129.784,86.070295,
126.873,46.023024,
123.963,29.908018,
121.052,20.758819,
118.141,12.905897,
115.231,15.717281,
112.320,13.909549,
109.410,9.875,
106.499,9.875,
103.589,6.5134731,
100.678,4.4182434,
97.767,5.8401186,
94.857,2.4100548,
91.946,6.5185522,
89.036,13.746021,
86.125,6.6539682,
83.215,10.715124,
80.304,10.368048,
77.393,-5.9198603,
74.483,-3.8493252,
71.572,-1.0379437,
68.662,0.2515925,
65.751,-6.1064672,
62.840,-2.3445762,
59.930,3.875,
57.019,3.875,
54.109,-3.2909302,
51.198,-5.4105165,
48.288,0.85235023,
45.377,-1.961162,
42.466,-1.4761226,
39.556,0.64476284,
36.645,-0.75961759,
33.735,-1.6442485,
30.824,-3.6712088,
27.914,-8.5794355,
25.003,-12.238187,
22.092,-10.250145,
19.182,-2.28518,
16.271,-7.181611,
13.361,-5.7533362,
10.450,-43.551985,
7.539,-290.05731,
4.629,-779.57678,
1.718,-1230.5102,
-1.192,-1401.3106,
-4.103,-1063.3847,
-7.013,-579.39448,
-9.924,-3.125,
