,PLC1D2~1,
Wavenumbers [1/cm],Intensity,
982.583,1184.6331,
979.673,1192.5848,
976.762,1181.4967,
973.852,1176.4201,
970.941,1183.1855,
968.030,1178.9363,
965.120,1139.2255,
962.209,1192.9357,
959.299,1203.4165,
956.388,1220.239,
953.477,1221.0802,
950.567,1219.1626,
947.656,1260.9973,
944.746,1253.3513,
941.835,1239.2332,
938.925,1253.1093,
936.014,1266.5524,
933.103,1268.1752,
930.193,1255.4092,
927.282,1224.8625,
924.372,1222.3257,
921.461,1244.8284,
918.551,1229.7627,
915.640,1208.7506,
912.729,1201.3899,
909.819,1198.0008,
906.908,1205.5827,
903.998,1187.7066,
901.087,1169.6334,
898.176,1170.5895,
895.266,1196.1873,
892.355,1225.66,
889.445,1197.1249,
886.534,1227.8903,
883.624,1222.5619,
880.713,1232.3107,
877.802,1235.8835,
874.892,1208.1977,
871.981,1175.7313,
869.071,1079.6588,
866.160,1058.8602,
863.250,1096.3152,
860.339,1153.4785,
857.428,1203.6698,
854.518,1253.0722,
851.607,1255.5684,
848.697,1218.8579,
845.786,1149.0655,
842.875,1131.1098,
839.965,1204.447,
837.054,1275.0558,
834.144,1280.0283,
831.233,1324.9968,
828.323,1320.2931,
825.412,1307.4883,
822.501,1339.0426,
819.591,1344.8274,
816.680,1315.3525,
813.770,1299.229,
810.859,1284.5239,
807.949,1269.4171,
805.038,1257.3119,
802.127,1235.0875,
799.217,1240.4539,
796.306,1230.5134,
793.396,1235.0154,
790.485,1255.9471,
787.574,1252.6539,
784.664,1269.8762,
781.753,1297.1554,
778.843,1314.3909,
775.932,1326.4814,
773.022,1336.5621,
770.111,1307.9468,
767.200,1301.4321,
764.290,1310.9797,
761.379,1305.2146,
758.469,1289.8595,
755.558,1312.3404,
752.648,1323.7448,
749.737,1327.9584,
746.826,1310.3512,
743.916,1305.195,
741.005,1348.559,
738.095,1362.3609,
735.184,1353.9892,
732.274,1307.9282,
729.363,1268.6551,
726.452,1260.7376,
723.542,1231.5994,
720.631,1262.8752,
717.721,1298.2052,
714.810,1333.3692,
711.899,1356.802,
708.989,1343.0842,
706.078,1320.5635,
703.168,1319.2505,
700.257,1327.776,
697.347,1330.3484,
694.436,1309.8036,
691.525,1302.5694,
688.615,1321.7541,
685.704,1335.2951,
682.794,1340.2766,
679.883,1350.8919,
676.973,1348.4878,
674.062,1363.314,
671.151,1369.37,
668.241,1365.2853,
665.330,1360.4285,
662.420,1306.1147,
659.509,1331.826,
656.598,1375.9357,
653.688,1415.2017,
650.777,1444.5149,
647.867,1400.7168,
644.956,1411.432,
642.046,1397.8803,
639.135,1349.4715,
636.224,1306.2387,
633.314,1353.875,
630.403,1372.5033,
627.493,1356.26,
624.582,1323.8829,
621.672,1327.8428,
618.761,1328.7599,
615.850,1364.8142,
612.940,1415.1751,
610.029,1450.4761,
607.119,1417.3116,
604.208,1426.7802,
601.297,1450.4452,
598.387,1447.7892,
595.476,1394.1087,
592.566,1384.6638,
589.655,1436.7749,
586.745,1444.7355,
583.834,1412.1692,
580.923,1395.1137,
578.013,1413.9473,
575.102,1410.9698,
572.192,1413.5748,
569.281,1431.9526,
566.371,1448.3877,
563.460,1454.2328,
560.549,1468.182,
557.639,1484.2228,
554.728,1492.0638,
551.818,1477.2378,
548.907,1461.2023,
545.996,1455.3327,
543.086,1463.0263,
540.175,1481.7138,
537.265,1455.4774,
534.354,1451.0203,
531.444,1451.1482,
528.533,1437.6555,
525.622,1460.9339,
522.712,1458.719,
519.801,1439.8704,
516.891,1426.2338,
513.980,1471.9173,
511.070,1476.7043,
508.159,1460.2852,
505.248,1449.5109,
502.338,1470.9382,
499.427,1434.6621,
496.517,1438.0101,
493.606,1461.7962,
490.695,1488.3581,
487.785,1483.7393,
484.874,1486.8773,
481.964,1466.1597,
479.053,1431.9776,
476.143,1423.53,
473.232,1428.0358,
470.321,1431.9463,
467.411,1432.987,
464.500,1430.0582,
461.590,1432.3554,
458.679,1436.8521,
455.769,1434.6439,
452.858,1428.1698,
449.947,1477.8253,
447.037,1455.8417,
444.126,1450.897,
441.216,1485.4082,
438.305,1528.0763,
435.395,1495.3174,
432.484,1464.9979,
429.573,1448.6925,
426.663,1438.8106,
423.752,1363.3762,
420.842,1255.6468,
417.931,1133.2487,
415.020,1017.9783,
412.110,1262.7485,
409.199,1421.9706,
406.289,1493.492,
403.378,1494.6465,
400.468,1390.3193,
397.557,1394.5329,
394.646,1449.3929,
391.736,1501.9276,
388.825,1499.6649,
385.915,1495.8068,
383.004,1490.7157,
380.094,1484.8848,
377.183,1482.6274,
374.272,1470.0588,
371.362,1471.4788,
368.451,1499.9118,
365.541,1514.9225,
362.630,1520.6387,
359.719,1504.8339,
356.809,1463.5922,
353.898,1456.853,
350.988,1503.8238,
348.077,1540.3535,
345.167,1527.2593,
342.256,1492.8941,
339.345,1497.8801,
336.435,1509.0569,
333.524,1504.5872,
330.614,1523.2161,
327.703,1535.6743,
324.793,1556.1785,
321.882,1596.9008,
318.971,1556.0115,
316.061,1541.5117,
313.150,1544.4643,
310.240,1555.596,
307.329,1598.1636,
304.418,1637.3417,
301.508,1674.24,
298.597,1712.7417,
295.687,1706.5186,
292.776,1695.3333,
289.866,1693.0061,
286.955,1726.2487,
284.044,1779.07,
281.134,1828.847,
278.223,1858.7787,
275.313,1809.4094,
272.402,1836.1778,
269.492,1861.4157,
266.581,1854.6368,
263.670,1807.5852,
260.760,1856.1636,
257.849,1910.6904,
254.939,1904.0854,
252.028,1874.3224,
249.117,1895.8916,
246.207,1937.2729,
243.296,1946.0574,
240.386,1965.2838,
237.475,1983.8363,
234.565,1992.3633,
231.654,1956.5745,
228.743,1982.3713,
225.833,1971.0222,
222.922,1889.7814,
220.012,1906.5382,
217.101,1926.2308,
214.191,1918.4883,
211.280,1843.5596,
208.369,1845.4009,
205.459,1846.6045,
202.548,1851.6491,
199.638,1901.7188,
196.727,1835.9395,
193.816,1811.9084,
190.906,1883.1812,
187.995,1802.8144,
185.085,1779.7286,
182.174,1783.8247,
179.264,1779.4881,
176.353,1779,
173.442,1764.1351,
170.532,1733.0436,
167.621,1690.506,
164.711,1691.6136,
161.800,1634.9232,
158.890,1435.5587,
155.979,1338.3569,
153.068,1235.441,
150.158,1113.3182,
147.247,938.85577,
144.337,774.53116,
141.426,602.43764,
138.516,413.17836,
135.605,308.34835,
132.694,222.34703,
129.784,152.4079,
126.873,98.058032,
123.963,67.651615,
121.052,43.368166,
118.141,19.095499,
115.231,17.578859,
112.320,14.88182,
109.410,13.090842,
106.499,18.788084,
103.589,13.276946,
100.678,7.7283783,
97.767,7.0174407,
94.857,1.4560876,
91.946,5.0466631,
89.036,13.774204,
86.125,12.355794,
83.215,8.8144779,
80.304,4.8028366,
77.393,1.2619869,
74.483,8.2064845,
71.572,9.1011831,
68.662,4,
65.751,4,
62.840,0.62808612,
59.930,-2.6254276,
57.019,-1.2152636,
54.109,-2.1943217,
51.198,-1.1903443,
48.288,2.9830127,
45.377,0.87287847,
42.466,0.82443868,
39.556,2,
36.645,2,
33.735,0.4422546,
30.824,-1,
27.914,-1,
25.003,-0.37736252,
22.092,-3.8748547,
19.182,-11.588108,
16.271,1.0027139,
13.361,32.551853,
10.450,53.85609,
7.539,-34.131646,
4.629,-315.16249,
1.718,-652.14859,
-1.192,-962.37791,
-4.103,-791.13869,
-7.013,-456.47339,
-9.924,-2,
