,PL0AD7~1,
Wavenumbers [1/cm],Intensity,
205.459,1693.4067,
202.548,1691.3844,
199.638,1710.9769,
196.727,1704.6281,
193.816,1695.7959,
190.906,1691.2478,
187.995,1641.2901,
185.085,1629.6743,
182.174,1638.5465,
179.264,1647.9424,
176.353,1624.6504,
173.442,1637.4667,
170.532,1674.5072,
167.621,1593.037,
164.711,1533.1591,
161.800,1438.5419,
158.890,1261.4889,
155.979,1166.0416,
153.068,1071.9167,
150.158,970.99064,
147.247,847.50285,
144.337,708.47214,
141.426,559.80623,
138.516,402.80705,
135.605,282.77362,
132.694,202.21386,
129.784,147.57168,
126.873,88.931035,
123.963,58.789756,
121.052,38.201059,
118.141,21.067411,
115.231,24.552852,
112.320,21.763641,
109.410,15.590934,
106.499,13.454469,
103.589,9.6384731,
100.678,5.9135132,
97.767,3.0697629,
94.857,5.0789671,
91.946,10.43422,
89.036,17,
86.125,17,
83.215,13.283558,
80.304,8.0845385,
77.393,2.419179,
74.483,0.034595126,
71.572,3.3482254,
68.662,10.238058,
65.751,2.4670956,
62.840,7.2255298,
59.930,13.127138,
57.019,6.0763182,
54.109,0.81987406,
51.198,-2,
48.288,-1.9830127,
45.377,0.12712153,
42.466,1,
39.556,0.88488142,
36.645,0.18269121,
33.735,0.51924847,
30.824,-0.54620882,
27.914,-5.4544355,
25.003,-8.4905499,
22.092,-9.3541909,
19.182,-8,
16.271,-8,
13.361,-21.908113,
10.450,-82.946226,
7.539,-326.65829,
4.629,-788.08656,
1.718,-1211.247,
-1.192,-1375.076,
-4.103,-1044.767,
-7.013,-570.22177,
-9.924,-3,
