,PL36EA~1,
Wavenumbers [1/cm],Intensity,
22.092,3.1770954,
19.182,3.6899089,
16.271,40.063396,
13.361,212.54674,
10.450,535.1468,
7.539,1148.966,
4.629,1484.5668,
1.718,1469.0384,
-1.192,880.64841,
-4.103,357.03992,
-7.013,46.218434,
-9.924,-2.5,
