,PL6D1D~1,
Wavenumbers [1/cm],Intensity,
170.532,1679.0563,
167.621,1605.5168,
164.711,1549.3608,
161.800,1466.9806,
158.890,1321.5956,
155.979,1248.8927,
153.068,1151.6263,
150.158,1028.3177,
147.247,885.44516,
144.337,743.21242,
141.426,589.93408,
138.516,418.59707,
135.605,287.77948,
132.694,199.44834,
129.784,141.17227,
126.873,87.537532,
123.963,57.845686,
121.052,37.392637,
118.141,21.686793,
115.231,20.203859,
112.320,18.777728,
109.410,16.397803,
106.499,9.9884056,
103.589,10.866018,
100.678,10.180405,
97.767,3.7819665,
94.857,2.2390219,
91.946,8.8809957,
89.036,18.044429,
86.125,8.1155555,
83.215,5.0940796,
80.304,3.6672693,
77.393,0.83458951,
74.483,1.9352699,
71.572,2.9873521,
68.662,3.1401275,
65.751,-1.80503,
62.840,0.96031785,
59.930,4.5012828,
57.019,0.2707909,
54.109,0.8193217,
51.198,3.1330464,
48.288,6.5966878,
45.377,3.0797975,
42.466,0.80056132,
39.556,-0.72035573,
36.645,-2.8269264,
33.735,-2.8557515,
30.824,-3.0376609,
27.914,-5.1411867,
25.003,-8.4881874,
22.092,-8.1146681,
19.182,-3.2834685,
16.271,-0.48550802,
13.361,24.648105,
10.450,32.62553,
7.539,-112.62407,
4.629,-457.07204,
1.718,-816.43135,
-1.192,-1051.3691,
-4.103,-858.3603,
-7.013,-497.60705,
-9.924,-1.375,
