,PLA0ED~1,
Wavenumbers [1/cm],Intensity,
16.271,8.9053409,
13.361,48.184554,
10.450,101.03354,
7.539,132.45773,
4.629,-29.245917,
1.718,-294.21445,
-1.192,-639.30099,
-4.103,-578.24818,
-7.013,-355.62761,
-9.924,-1.375,
