,PLDD2F~1,
Wavenumbers [1/cm],Intensity,
272.402,855.33926,
269.492,863.51774,
266.581,829.04495,
263.670,719.5031,
260.760,753.17291,
257.849,822.88346,
254.939,851.50488,
252.028,834.50272,
249.117,805.03363,
246.207,802.4984,
243.296,897.66319,
240.386,950.31946,
237.475,961.34939,
234.565,937.69846,
231.654,904.8312,
228.743,920.31435,
225.833,934.74073,
222.922,928.61797,
220.012,901.66143,
217.101,905.63361,
214.191,919.53068,
211.280,921.71307,
208.369,929.27595,
205.459,904.52823,
202.548,865.51011,
199.638,886.55394,
196.727,874.74095,
193.816,880.03329,
190.906,916.97998,
187.995,834.44119,
185.085,836.61062,
182.174,865.78203,
179.264,846.99011,
176.353,855.12746,
173.442,853.62384,
170.532,836.50663,
167.621,799.0159,
164.711,779.94035,
161.800,730.09502,
158.890,607.74133,
155.979,553.26046,
153.068,515.53794,
150.158,480.53811,
147.247,408.02493,
144.337,370.12707,
141.426,309.72239,
138.516,197.17046,
135.605,137.82372,
132.694,100.31291,
129.784,76.30021,
126.873,47.695017,
123.963,35.615229,
121.052,24.076059,
118.141,6.9424107,
115.231,9.7172814,
112.320,10.451364,
109.410,10.011355,
106.499,10.72351,
103.589,5.2724552,
100.678,0.875,
97.767,0.875,
94.857,2.9539671,
91.946,8.7123305,
89.036,14.633123,
86.125,6.831865,
83.215,6.4677611,
80.304,3.325779,
77.393,-10.12945,
74.483,3.2879691,
71.572,7.2514789,
68.662,0.6671975,
65.751,-1.4521557,
62.840,-0.19819207,
59.930,0.56399662,
57.019,-4.3715773,
54.109,-3.9306783,
51.198,-3.125,
48.288,-3.1193376,
45.377,-2.4159595,
42.466,-1.3005613,
39.556,-0.0098814219,
36.645,0.69230879,
33.735,0.875,
30.824,-1.9965307,
27.914,-11.111809,
25.003,-13.370275,
22.092,-14.125,
19.182,-13.621577,
16.271,1.7672059,
13.361,24.311861,
10.450,21.394771,
7.539,-126.64809,
4.629,-517.77496,
1.718,-902.0069,
-1.192,-1077.6873,
-4.103,-878.32564,
-7.013,-511.66856,
-9.924,-0.125,
