,PL1EBD~1,
Raman shift [1/cm],Intensity,
720.631,3227.3723,
717.721,3263.841,
714.810,3269.841,
711.899,3253.8168,
708.989,3259.4653,
706.078,3253.0896,
703.168,3224.7823,
700.257,3213.6886,
697.347,3209.2405,
694.436,3162.6566,
691.525,3205.2582,
688.615,3183.6834,
685.704,3174.5656,
682.794,3179.7128,
679.883,3157.0675,
676.973,3147.451,
674.062,3188.8896,
671.151,3220.5133,
668.241,3230.9295,
665.330,3235.3487,
662.420,3232.1538,
659.509,3219.4363,
656.598,3215.962,
653.688,3221.1901,
650.777,3223.338,
647.867,3218.56,
644.956,3234.8362,
642.046,3236.7934,
639.135,3224.7096,
636.224,3225.8859,
633.314,3302.898,
630.403,3305.3549,
627.493,3283.8981,
624.582,3276.9754,
621.672,3314.9911,
618.761,3326.3792,
615.850,3328.398,
612.940,3344.2352,
610.029,3375.7109,
607.119,3370.9731,
604.208,3386.1203,
601.297,3371.5623,
598.387,3372.8573,
595.476,3425.7517,
592.566,3396.6301,
589.655,3411.5846,
586.745,3395.16,
583.834,3354.0104,
580.923,3334.2631,
578.013,3295.0264,
575.102,3275.8962,
572.192,3313.446,
569.281,3385.3294,
566.371,3345.4156,
563.460,3387.3554,
560.549,3436.224,
557.639,3454.3404,
554.728,3420.323,
551.818,3449.1947,
548.907,3472.5636,
545.996,3481.1673,
543.086,3478.1711,
540.175,3481.2856,
537.265,3507.5741,
534.354,3531.5473,
531.444,3541.5988,
528.533,3533.3762,
525.622,3559.7584,
522.712,3584.3094,
519.801,3612.1571,
516.891,3644.2297,
513.980,3677.5244,
511.070,3746.0043,
508.159,3790.6924,
505.248,3807.2467,
502.338,3802.8496,
499.427,3883.1201,
496.517,3906.7626,
493.606,3898.0688,
490.695,3879.7467,
487.785,3895.9123,
484.874,3923.0565,
481.964,3938.9917,
479.053,3934.4102,
476.143,3900.6199,
473.232,3926.5567,
470.321,3915.1175,
467.411,3897.5782,
464.500,3913.9291,
461.590,3851.9042,
458.679,3869.1686,
455.769,3894.3494,
452.858,3891.4767,
449.947,3929.6733,
447.037,3955.0961,
444.126,3940.2515,
441.216,3899.9978,
438.305,3925.9035,
435.395,3932.1225,
432.484,3925.5817,
429.573,3911.66,
426.663,3899.4977,
423.752,3898.5,
420.842,3852.3747,
417.931,3829.8203,
415.020,3943.574,
412.110,3950.4265,
409.199,3980.3508,
406.289,4035.8359,
403.378,4113.3694,
400.468,4074.8137,
397.557,4030.6227,
394.646,3988.9181,
391.736,3955.834,
388.825,3903.792,
385.915,3910.3199,
383.004,3948.3459,
380.094,3999.4157,
377.183,4076.1683,
374.272,4147.4358,
371.362,4183.6135,
368.451,4175.5636,
365.541,4275.3849,
362.630,4284.4741,
359.719,4277.4911,
356.809,4299.3092,
353.898,4345.7346,
350.988,4326.4933,
348.077,4311.1164,
345.167,4340.3704,
342.256,4357.5529,
339.345,4358.2485,
336.435,4366.4365,
333.524,4397.7819,
330.614,4406.7237,
327.703,4425.4156,
324.793,4446.9448,
321.882,4465.6767,
318.971,4538.5341,
316.061,4575.2195,
313.150,4608.5166,
310.240,4676.0492,
307.329,4675.6415,
304.418,4691.3703,
301.508,4707.9554,
298.597,4694.6279,
295.687,4700.9496,
292.776,4800.3338,
289.866,4980.1173,
286.955,5196.5639,
284.044,5399.5398,
281.134,5600.9589,
278.223,5791.9305,
275.313,5917.9328,
272.402,6085.0786,
269.492,6241.6324,
266.581,6367.1739,
263.670,6460.5418,
260.760,6595.6333,
257.849,6734.0206,
254.939,6847.0385,
252.028,6913.646,
249.117,6884.5944,
246.207,6810.8401,
243.296,6773.5062,
240.386,6819.7804,
237.475,6804.6236,
234.565,6723.2358,
231.654,6632.6682,
228.743,6471.9595,
225.833,6338.5348,
222.922,6273.1115,
220.012,6286.2255,
217.101,6182.5425,
214.191,6064.5989,
211.280,6044.9574,
208.369,5992.3662,
205.459,5941.1495,
202.548,5903.2549,
199.638,5913.414,
196.727,5926.4481,
193.816,5922.1581,
190.906,5894.3888,
187.995,5919.7297,
185.085,5956.3985,
182.174,5983.9741,
179.264,5970.9643,
176.353,6064.9761,
173.442,6069.9173,
170.532,5986.7682,
167.621,6006.2345,
164.711,5930.037,
161.800,5778.8384,
158.890,5551.4045,
155.979,5204.3065,
153.068,4767.3789,
150.158,4255.8357,
147.247,3699.4227,
144.337,3037.9357,
141.426,2388.3158,
138.516,1806.2001,
135.605,1288.3656,
132.694,882.54501,
129.784,578.89458,
126.873,380.80362,
123.963,261.96832,
121.052,183.80291,
118.141,136.68538,
115.231,110.2089,
112.320,88.909102,
109.410,72.863737,
106.499,64.317874,
103.589,58.578219,
100.678,51.968918,
97.767,42.726729,
94.857,39.728044,
91.946,35.678224,
89.036,32.06449,
86.125,35.610516,
83.215,32.252637,
80.304,28.021135,
77.393,26.604795,
74.483,24.534595,
71.572,24.949408,
68.662,26.66879,
65.751,18.191377,
62.840,19.835318,
59.930,23.563569,
57.019,20.038159,
54.109,15.319874,
51.198,12.801609,
48.288,13.567949,
45.377,22.008486,
42.466,23.438903,
39.556,20.5,
36.645,20.5,
33.735,19.461503,
30.824,17.616452,
27.914,14.811751,
25.003,18.235825,
22.092,18.562573,
19.182,15.026306,
16.271,31.114579,
13.361,139.49283,
10.450,326.61439,
7.539,600.35401,
4.629,656.01025,
1.718,519.83809,
-1.192,123.16285,
-4.103,-5.8893639,
-7.013,-39.474747,
-9.924,-0.5,
