,PLD587~1,
Wavenumbers [1/cm],Intensity,
176.353,1299.4502,
173.442,1314.741,
170.532,1353.961,
167.621,1356.8449,
164.711,1320.8353,
161.800,1282.4639,
158.890,1267.3497,
155.979,1211.8481,
153.068,1119.2227,
150.158,1002.7687,
147.247,903.69124,
144.337,741.65754,
141.426,571.2558,
138.516,416.40729,
135.605,311.26541,
132.694,210.98613,
129.784,125.09903,
126.873,86.482023,
123.963,64.398247,
121.052,47.959216,
118.141,33.681176,
115.231,30.072148,
112.320,23.965005,
109.410,17.625,
106.499,17.625,
103.589,12.022455,
100.678,7.8966217,
97.767,8.6075593,
94.857,10.010978,
91.946,6.9970022,
89.036,1.2863063,
86.125,-0.84130954,
83.215,1.8105221,
80.304,4.625,
77.393,4.625,
74.483,4.625,
71.572,3.5379437,
68.662,1.9713375,
65.751,5.5035929,
62.840,5.179894,
59.930,5.1232896,
57.019,10.763945,
54.109,8.6391958,
51.198,6.625,
48.288,6.5910253,
45.377,2.3707569,
42.466,3.5105354,
39.556,7.5098814,
36.645,6.8076912,
33.735,5.5865031,
30.824,2.4161303,
27.914,-4.5956222,
25.003,-2.8844501,
22.092,-2.0208091,
19.182,-3.3063514,
16.271,-1.207881,
13.361,-19.762067,
10.450,-83.874205,
7.539,-301.7486,
4.629,-445.1176,
1.718,-529.58226,
-1.192,-540.03942,
-4.103,-284.93848,
-7.013,-82.588293,
-9.924,1.625,
