,PL1CEB~1,
Wavenumbers [1/cm],Intensity,
348.077,1216.3659,
345.167,1176.0515,
342.256,1206.6813,
339.345,1200.0885,
336.435,1186.2224,
333.524,1186.2986,
330.614,1211.6339,
327.703,1204.6112,
324.793,1194.6247,
321.882,1206.4603,
318.971,1190.1046,
316.061,1219.1703,
313.150,1252.9595,
310.240,1244.7963,
307.329,1258.7927,
304.418,1271.7953,
301.508,1273.4107,
298.597,1246.7557,
295.687,1261.431,
292.776,1282.0001,
289.866,1304.1707,
286.955,1326.3325,
284.044,1322.5425,
281.134,1313.316,
278.223,1309.4579,
275.313,1343.3533,
272.402,1323.7785,
269.492,1334.2842,
266.581,1397.449,
263.670,1382.7454,
260.760,1387.3805,
257.849,1405.7651,
254.939,1435.1204,
252.028,1405.0985,
249.117,1398.0683,
246.207,1410.3188,
243.296,1436.6721,
240.386,1408.1564,
237.475,1384.2004,
234.565,1373.4203,
231.654,1379.2633,
228.743,1371.2941,
225.833,1370.5979,
222.922,1384.4321,
220.012,1382.9749,
217.101,1372.6857,
214.191,1366.8712,
211.280,1381.4205,
208.369,1391.9194,
205.459,1392.9067,
202.548,1384.8677,
199.638,1369.629,
196.727,1432.1886,
193.816,1455.8161,
190.906,1399.6174,
187.995,1431.4745,
185.085,1433.9886,
182.174,1432.7271,
179.264,1463.0833,
176.353,1460.0922,
173.442,1448.5237,
170.532,1432.3158,
167.621,1413.5705,
164.711,1394.3097,
161.800,1355.2032,
158.890,1278.1923,
155.979,1199.8664,
153.068,1096.8869,
150.158,977.91077,
147.247,874.52564,
144.337,721.0124,
141.426,566.10166,
138.516,432.043,
135.605,307.31802,
132.694,203.09929,
129.784,122.55592,
126.873,81.793524,
123.963,58.704177,
121.052,43.533951,
118.141,33.539323,
115.231,27.815437,
112.320,24.652728,
109.410,22.681868,
106.499,18.408937,
103.589,12.45771,
100.678,9.0432434,
97.767,10.465119,
94.857,14.657934,
91.946,12.468891,
89.036,6.2742042,
86.125,4.8557936,
83.215,2.9072389,
80.304,2.4577307,
77.393,5.2904105,
74.483,2.2243252,
71.572,1.9494085,
68.662,4.7078025,
65.751,6.8271557,
62.840,6.536596,
59.930,3.627138,
57.019,-3.4236818,
54.109,0.27728678,
51.198,5.0080464,
48.288,8.4433756,
45.377,1.4095949,
42.466,2.6221934,
39.556,8.0395257,
36.645,5.2307648,
33.735,9.1732362,
30.824,9.9658084,
27.914,-1.2529955,
25.003,-1.254725,
22.092,2.406141,
19.182,8.6372972,
16.271,12.834238,
13.361,70.132453,
10.450,155.63442,
7.539,208.70639,
4.629,174.48178,
1.718,42.048821,
-1.192,-243.08329,
-4.103,-218.12538,
-7.013,-123.16793,
-9.924,3.5,
