,PLF12D~1,
Wavenumbers [1/cm],Intensity,
246.207,2997.7129,
243.296,3031.3866,
240.386,2968.3948,
237.475,2975.2606,
234.565,3041.3895,
231.654,3031.1642,
228.743,2989.2996,
225.833,2945.9748,
222.922,2915.257,
220.012,2942.2136,
217.101,2941.1857,
214.191,2940.3981,
211.280,2971.679,
208.369,2986.1106,
205.459,2980.821,
202.548,2950.337,
199.638,2871.2412,
196.727,2947.7708,
193.816,3019.3112,
190.906,3026.9746,
187.995,3026.2506,
185.085,3028.8371,
182.174,3050.2172,
179.264,3117.4344,
176.353,3114.1068,
173.442,3122.8649,
170.532,3152.4443,
167.621,3182.0043,
164.711,3072.7984,
161.800,2932.8387,
158.890,2832.7966,
155.979,2681.4717,
153.068,2482.0206,
150.158,2242.4162,
147.247,1980.3636,
144.337,1640.9498,
141.426,1289.3667,
138.516,953.86163,
135.605,682.39777,
132.694,465.62239,
129.784,300.93076,
126.873,197.95206,
123.963,136.02695,
121.052,93.385142,
118.141,64.11516,
115.231,56.183726,
112.320,49.187277,
109.410,42.500092,
106.499,34.666385,
103.589,23.475674,
100.678,17.086487,
97.767,19.930237,
94.857,20.692989,
91.946,16.968891,
89.036,11,
86.125,11,
83.215,7.2835575,
80.304,6.8731922,
77.393,15.371231,
74.483,16.655135,
71.572,16.637648,
68.662,15.584395,
65.751,11.345689,
62.840,9.036596,
59.930,8,
57.019,8,
54.109,8.5971608,
51.198,9,
48.288,9,
45.377,9,
42.466,10.648877,
39.556,12.769763,
36.645,11.365382,
33.735,13.076994,
30.824,12.128469,
27.914,3.0131912,
25.003,10.716925,
22.092,15.354191,
19.182,14.8009,
16.271,39.283055,
13.361,159.00053,
10.450,370.57564,
7.539,722.52658,
4.629,1016.3994,
1.718,1053.9761,
-1.192,558.3063,
-4.103,298.11509,
-7.013,119.3162,
-9.924,1,
