,PLBCE1~1,
Wavenumbers [1/cm],Intensity,
25.003,3.25,
22.092,4.8645228,
19.182,9.0966659,
16.271,34.977801,
13.361,136.28492,
10.450,303.79717,
7.539,551.00081,
4.629,705.60687,
1.718,700.87447,
-1.192,409.46805,
-4.103,191.16449,
-7.013,51.448322,
-9.924,-0.75,
