,PLED81~1,
Raman shift [1/cm],Intensity,
185.085,2548.4393,
182.174,2534.1921,
179.264,2539.9742,
176.353,2530.3725,
173.442,2555.805,
170.532,2599.116,
167.621,2500.3424,
164.711,2401.6222,
161.800,2303.4468,
158.890,2206.2836,
155.979,2068.1062,
153.068,1940.8371,
150.158,1795.7432,
147.247,1514.3059,
144.337,1219.0894,
141.426,956.01578,
138.516,750.98489,
135.605,512.88018,
132.694,347.39075,
129.784,237.34315,
126.873,148.66705,
123.963,104.44777,
121.052,78.675926,
118.141,63.683984,
115.231,47.281882,
112.320,37.659549,
109.410,33.352289,
106.499,31.927979,
103.589,28.823728,
100.678,23.908783,
97.767,16.799407,
94.857,22.861901,
91.946,24.415667,
89.036,21.496021,
86.125,14.403968,
83.215,17.403283,
80.304,19.709539,
77.393,14.044179,
74.483,14.93527,
71.572,12.726183,
68.662,8.45621,
65.751,16.933623,
62.840,12.39947,
59.930,5.7487172,
57.019,9.9792091,
54.109,10.625,
51.198,10.926609,
48.288,11.613675,
45.377,10.206919,
42.466,9.2127807,
39.556,8.8552372,
36.645,10.259618,
33.735,15.817485,
30.824,20.404113,
27.914,19.702938,
25.003,21.492912,
22.092,21.010477,
19.182,18.494549,
16.271,45.075174,
13.361,159.30366,
10.450,401.62288,
7.539,982.62126,
4.629,1534.2932,
1.718,1835.8581,
-1.192,1595.3432,
-4.103,989.162,
-7.013,429.13113,
-9.924,-2.375,
