,PLABEE~1,
Wavenumbers [1/cm],Intensity,
246.207,1794.0999,
243.296,1856.323,
240.386,1806.8427,
237.475,1790.8307,
234.565,1814.1503,
231.654,1821.4542,
228.743,1820.1232,
225.833,1798.4866,
222.922,1754.9852,
220.012,1776.1133,
217.101,1781.0371,
214.191,1794.7363,
211.280,1847.1137,
208.369,1825.4331,
205.459,1818.5895,
202.548,1811.3314,
199.638,1720.6253,
196.727,1783.8227,
193.816,1830.454,
190.906,1799.7618,
187.995,1821.4826,
185.085,1785.9701,
182.174,1752.8871,
179.264,1807.8174,
176.353,1814.6408,
173.442,1812.0995,
170.532,1806.3279,
167.621,1800.5601,
164.711,1725.9461,
161.800,1630.5082,
158.890,1544.1409,
155.979,1429.0767,
153.068,1308.9832,
150.158,1181.349,
147.247,1030.5791,
144.337,852.57142,
141.426,669.01079,
138.516,489.07109,
135.605,365.23391,
132.694,244.64668,
129.784,142.17088,
126.873,107.12952,
123.963,73.822774,
121.052,49.467372,
118.141,38.04494,
115.231,20.235741,
112.320,16.389087,
109.410,20.181868,
106.499,15.908937,
103.589,12.758982,
100.678,12.62973,
97.767,16.895356,
94.857,15.614022,
91.946,13.790667,
89.036,11.548408,
86.125,8.7115873,
83.215,4.2835575,
80.304,2.1971634,
77.393,5.7380131,
74.483,7.3102699,
71.572,5.4635352,
68.662,1.4848725,
65.751,6.43003,
62.840,8,
59.930,5.9398518,
57.019,-1.81605,
54.109,-2.4028392,
51.198,1.0160928,
48.288,7.9716878,
45.377,4.4547975,
42.466,5.0610967,
39.556,7.0790514,
36.645,1.4615297,
33.735,3.1154908,
30.824,4.2329042,
27.914,-1.3764977,
25.003,-0.75472505,
22.092,0,
19.182,0.22882863,
16.271,7.22373,
13.361,38.659142,
10.450,52.760151,
7.539,-93.886076,
4.629,-209.96507,
1.718,-373.2308,
-1.192,-667.42579,
-4.103,-517.23013,
-7.013,-275.60714,
-9.924,-5.3552133E-16,
