,PLA276~1,
Wavenumbers [1/cm],Intensity,
164.711,1810.3097,
161.800,1738.7922,
158.890,1689.131,
155.979,1581.3044,
153.068,1483.9136,
150.158,1376.4494,
147.247,1168.9612,
144.337,964.38044,
141.426,767.56193,
138.516,581.8871,
135.605,408.42794,
132.694,272.90628,
129.784,174.1579,
126.873,119.80803,
123.963,82.003704,
121.052,56.650794,
118.141,43.800558,
115.231,34.512585,
112.320,26.937277,
109.410,21.886355,
106.499,22.59851,
103.589,17.70771,
100.678,14.564865,
97.767,16.697678,
94.857,16.057011,
91.946,16.556222,
89.036,16.395225,
86.125,7.8847618,
83.215,3.6263186,
80.304,3.4260288,
77.393,8.3832184,
74.483,11.37054,
71.572,10.938239,
68.662,7.6807325,
65.751,6.9742814,
62.840,7.231702,
59.930,7.0008552,
57.019,4.1805273,
54.109,6.1386434,
51.198,7.75,
48.288,7.7273502,
45.377,4.913838,
42.466,4.1622193,
39.556,4.5197628,
36.645,3.1153824,
33.735,5.8654908,
30.824,9.1917739,
27.914,10.594124,
25.003,2.6557128,
22.092,1.3019501,
19.182,9.5051345,
16.271,32.588309,
13.361,102.86141,
10.450,222.80693,
7.539,432.30154,
4.629,578.65585,
1.718,547.36443,
-1.192,164.63208,
-4.103,54.983051,
-7.013,11.189664,
-9.924,0.75,
