,PLF53F~1,
Raman shift [1/cm],Intensity,
403.378,4307.0999,
400.468,4336.5837,
397.557,4313.0944,
394.646,4258.0282,
391.736,4192.3722,
388.825,4172.7622,
385.915,4131.8752,
383.004,4114.7061,
380.094,4157.484,
377.183,4323.7813,
374.272,4405.8235,
371.362,4455.1313,
368.451,4500.9088,
365.541,4499.4077,
362.630,4549.8004,
359.719,4594.9597,
356.809,4604.1748,
353.898,4640.1171,
350.988,4639.6928,
348.077,4616.1892,
345.167,4583.2922,
342.256,4648.2872,
339.345,4655.8399,
336.435,4645.1672,
333.524,4643.047,
330.614,4644.5373,
327.703,4652.7011,
324.793,4667.9915,
321.882,4691.1749,
318.971,4763.2888,
316.061,4797.278,
313.150,4817.3928,
310.240,4850.788,
307.329,4846.2829,
304.418,4892.331,
301.508,4946.4554,
298.597,4933.1279,
295.687,4943.5131,
292.776,5014.8337,
289.866,5151.0604,
286.955,5360.1197,
284.044,5604.4173,
281.134,5810.8336,
278.223,5971.8795,
275.313,6121.4611,
272.402,6308.6821,
269.492,6476.7661,
266.581,6601.8347,
263.670,6669.4712,
260.760,6786.6857,
257.849,6888.5747,
254.939,6924.535,
252.028,7016.9283,
249.117,6992.1556,
246.207,6916.2647,
243.296,6897.9638,
240.386,6881.6342,
237.475,6834.8129,
234.565,6747.3827,
231.654,6591.0806,
228.743,6449.8308,
225.833,6351.7062,
222.922,6305.5495,
220.012,6210.1087,
217.101,6100.9762,
214.191,6025.464,
211.280,6043.6506,
208.369,5944.7508,
205.459,5874.4405,
202.548,5847.1393,
199.638,5876.8909,
196.727,5868.0184,
193.816,5863.6225,
190.906,5877.3493,
187.995,5830.2877,
185.085,5852.3013,
182.174,5885.9894,
179.264,5852.7421,
176.353,5886.1652,
173.442,5930.5663,
170.532,5960.323,
167.621,5860.1074,
164.711,5717.3751,
161.800,5543.9402,
158.890,5341.6967,
155.979,5075.9178,
153.068,4678.3005,
150.158,4169.3585,
147.247,3607.2019,
144.337,2970.0871,
141.426,2327.3478,
138.516,1710.1044,
135.605,1238.5898,
132.694,854.5879,
129.784,554.53395,
