,PLE689~1,
Raman shift [1/cm],Intensity,
345.167,8632.4197,
342.256,8648.1081,
339.345,8691.4196,
336.435,8720.3507,
333.524,8707.7289,
330.614,8742.7513,
327.703,8812.6666,
324.793,8869.914,
321.882,8873.7332,
318.971,8918.3397,
316.061,8986.3629,
313.150,9065.413,
310.240,9141.851,
307.329,9212.5155,
304.418,9238.2571,
301.508,9253.9543,
298.597,9319.111,
295.687,9339.5243,
292.776,9429.5421,
289.866,9610.8593,
286.955,9920.3853,
284.044,10252.412,
281.134,10554.41,
278.223,10826.306,
275.313,11118.101,
272.402,11362.029,
269.492,11595.652,
266.581,11829.656,
263.670,12025.949,
260.760,12218.445,
257.849,12386.252,
254.939,12511.012,
252.028,12603.106,
249.117,12665.948,
246.207,12693.943,
243.296,12671.982,
240.386,12648.729,
237.475,12628.405,
234.565,12583.486,
231.654,12392.126,
228.743,12298.691,
225.833,12183.096,
222.922,12001.966,
220.012,11859.169,
217.101,11800.848,
214.191,11742.072,
211.280,11587.122,
208.369,11618.012,
205.459,11571.152,
202.548,11491.436,
199.638,11617.699,
196.727,11583.122,
193.816,11555.482,
190.906,11594.727,
187.995,11597.623,
185.085,11618.012,
182.174,11652.749,
179.264,11701.175,
176.353,11663.052,
173.442,11640.8,
170.532,11641.433,
167.621,11614.036,
164.711,11488.898,
161.800,11235.166,
158.890,10803.33,
155.979,10137.626,
153.068,9332.4841,
150.158,8391.075,
147.247,7271.0695,
144.337,6042.4104,
141.426,4784.6245,
138.516,3530.0649,
135.605,2562.7345,
132.694,1752.5908,
129.784,1114.1283,
126.873,747.26672,
123.963,520.68327,
121.052,363.13162,
118.141,256.04632,
115.231,208.01679,
112.320,162.78321,
109.410,126.12509,
106.499,118.29138,
103.589,107.66093,
100.678,96.550674,
97.767,85.886611,
94.857,79.388099,
91.946,70.578337,
89.036,61.512102,
86.125,60.802897,
83.215,59.563159,
80.304,55.512375,
77.393,46.306166,
74.483,48.24554,
71.572,47.088535,
68.662,42.140128,
65.751,37.19497,
62.840,35.625,
59.930,36.186859,
57.019,38.302105,
54.109,37.430678,
51.198,34.212126,
48.288,28.613675,
45.377,27.206919,
42.466,26.212781,
39.556,25.164526,
36.645,22.355765,
33.735,25.259739,
30.824,27.741452,
27.914,24.936751,
25.003,30.228737,
22.092,31.041764,
19.182,25.94536,
16.271,35.738222,
13.361,96.100369,
10.450,199.4658,
7.539,349.6036,
4.629,265.73966,
1.718,41.578298,
-1.192,-313.96542,
-4.103,-266.40157,
-7.013,-143.44237,
-9.924,0.625,
