,PLCD35~1,
Wavenumbers [1/cm],Intensity,
479.053,2853.6256,
476.143,2866.681,
473.232,2845.9179,
470.321,2839.9329,
467.411,2839.2076,
464.500,2830.4697,
461.590,2868.7567,
458.679,2867.3935,
455.769,2875.4587,
452.858,2911.3981,
449.947,2881.6048,
447.037,2834.847,
444.126,2837.3364,
441.216,2888.4843,
438.305,2899.9133,
435.395,2898.2218,
432.484,2895.6665,
429.573,2879.7673,
426.663,2816.6757,
423.752,2577.8646,
420.842,2288.8021,
417.931,2019.1742,
415.020,1856.1272,
412.110,2342.144,
409.199,2661.3752,
406.289,2806.5,
403.378,2806.3566,
400.468,2764.0209,
397.557,2755.1273,
394.646,2807.7129,
391.736,2938.3793,
388.825,2934.6081,
385.915,2928.1781,
383.004,2907.7951,
380.094,2871.5327,
377.183,2930.9784,
374.272,2990.9224,
371.362,3024.2624,
368.451,3016.2265,
365.541,3011.7232,
362.630,3002.8526,
359.719,2996.5,
356.809,2999.8982,
353.898,3056.058,
350.988,3066.0751,
348.077,3059.1767,
345.167,3052.4404,
342.256,3031.5225,
339.345,3026.0314,
336.435,3032.0518,
333.524,3046.7584,
330.614,3054.9551,
327.703,3071.3619,
324.793,3103.5766,
321.882,3158.4585,
318.971,3141.3594,
316.061,3180.9132,
313.150,3231.9643,
310.240,3243.096,
307.329,3313.5344,
304.418,3357.0024,
301.508,3382.5893,
298.597,3409.2443,
295.687,3418.9496,
292.776,3457.9169,
289.866,3531.632,
286.955,3646.1345,
284.044,3773.1874,
281.134,3912.6684,
278.223,4052.5715,
275.313,4135.0992,
272.402,4200.1341,
269.492,4233.2326,
266.581,4226.2434,
263.670,4166.6938,
260.760,4267.5586,
257.849,4385.7651,
254.939,4415.1204,
252.028,4439.3869,
249.117,4458.5502,
246.207,4470.3106,
243.296,4469.5786,
240.386,4440.7684,
237.475,4413.9744,
234.565,4389.6333,
231.654,4352.3837,
228.743,4311.1287,
225.833,4251.132,
222.922,4167.1366,
220.012,4095.0096,
217.101,4059.7228,
214.191,4041.8174,
211.280,4022.9034,
208.369,3938.0712,
205.459,3866.7577,
202.548,3817.1156,
199.638,3797.5231,
196.727,3777.9422,
193.816,3748.4386,
190.906,3704.1383,
187.995,3636.804,
185.085,3616.81,
182.174,3620.6959,
179.264,3621.4186,
176.353,3599.0727,
173.442,3598.827,
170.532,3609.4951,
167.621,3515.0473,
164.711,3464.2727,
161.800,3354.7451,
158.890,3100.6813,
155.979,2887.8794,
153.068,2660.2917,
150.158,2412.6182,
147.247,2131.1809,
144.337,1785.2192,
141.426,1405.7553,
138.516,1002.1455,
135.605,739.10102,
132.694,508.74596,
129.784,320.57013,
126.873,218.30656,
123.963,154.25067,
121.052,105.35251,
118.141,64.6601,
115.231,58.815437,
112.320,50.145461,
109.410,41.363645,
106.499,40.65149,
103.589,37.138473,
100.678,33.141891,
97.767,29.587204,
94.857,21.87712,
91.946,24.546663,
89.036,32.822613,
86.125,28.567381,
83.215,22.190796,
80.304,16.063404,
77.393,11.814384,
74.483,14.775675,
71.572,16.137648,
68.662,15.5,
65.751,15.5,
62.840,15.981702,
59.930,14.252566,
57.019,5.7915818,
54.109,5.0971608,
51.198,5.1983907,
48.288,4.5396371,
45.377,9.4632836,
42.466,10.675561,
39.556,8.8092885,
36.645,4.5961472,
33.735,6.6154908,
30.824,7.5120172,
27.914,1.20144,
25.003,-0.74527495,
22.092,-2.4687137,
19.182,-4.2025228,
16.271,4.8908489,
13.361,8.5,
10.450,-22.508958,
7.539,-202.67432,
4.629,-611.44381,
1.718,-1044.3657,
-1.192,-1350.4121,
-4.103,-984.79212,
-7.013,-503.08378,
-9.924,1.5,
