,PLC4B4~1,
Raman shift [1/cm],Intensity,
141.426,2013.9521,
138.516,1500.658,
135.605,1050.1622,
132.694,717.56705,
129.784,481.02252,
126.873,307.9611,
123.963,210.72136,
121.052,146.18607,
118.141,101.92414,
115.231,90.380874,
112.320,74.735466,
109.410,58.931868,
106.499,54.658937,
103.589,50.948728,
100.678,44.132431,
97.767,32.046492,
94.857,37.293912,
91.946,36.525113,
89.036,31.072613,
86.125,26.817381,
83.215,24.157239,
80.304,23.228865,
77.393,24.645205,
74.483,19.50892,
71.572,16.025296,
68.662,14.611465,
65.751,13.198563,
62.840,14.676808,
59.930,16.562714,
57.019,15.857632,
54.109,14.555678,
51.198,10.733907,
48.288,3.800962,
45.377,10.131365,
42.466,9.4522453,
39.556,4.2895257,
36.645,1.4807648,
33.735,0.75,
30.824,0.087339078,
27.914,-2.0161867,
25.003,2.1084623,
22.092,4.4270954,
19.182,3.0635141,
16.271,-17.92119,
13.361,-63.338302,
10.450,-180.71494,
7.539,-566.88333,
4.629,-971.36541,
1.718,-1288.3226,
-1.192,-1392.8942,
-4.103,-936.52149,
-7.013,-440.80384,
-9.924,-0.25,
