,PL3EC8~1,
Wavenumbers [1/cm],Intensity,
121.052,55.092372,
118.141,43.66994,
115.231,37.940437,
112.320,32.659549,
109.410,29.034066,
106.499,31.170531,
103.589,25.462201,
100.678,18.452026,
97.767,12.764526,
94.857,14.703967,
91.946,19.252998,
89.036,24.286306,
86.125,22.15869,
83.215,21.09408,
80.304,17.272942,
77.393,7.3585633,
74.483,14.486619,
71.572,17.175592,
68.662,14.486465,
65.751,13.073563,
62.840,8.7713841,
59.930,4.8122862,
57.019,5.5173682,
54.109,5.0278392,
51.198,6.4346557,
48.288,10.591025,
45.377,6.3707569,
42.466,5.0372193,
39.556,5.625,
36.645,5.625,
33.735,7.7019939,
30.824,7.4161303,
27.914,0.40437781,
25.003,4.6060998,
22.092,6.0104772,
19.182,3.0140087,
16.271,14.905341,
13.361,54.606012,
10.450,113.92284,
7.539,179.56448,
4.629,33.466308,
1.718,-207.25381,
-1.192,-493.78022,
-4.103,-482.97678,
-7.013,-314.65287,
-9.924,0.625,
