,PL9E2D~1,
Raman shift [1/cm],Intensity,
286.955,1563.0217,
284.044,1625.3424,
281.134,1691.0335,
278.223,1758.764,
275.313,1795.6068,
272.402,1850.4282,
269.492,1866.9481,
266.581,1831.477,
263.670,1860.8842,
260.760,1892.8822,
257.849,1907.9593,
254.939,1889.6123,
252.028,1888.6512,
249.117,1887.4613,
246.207,1885.4279,
243.296,1881.7678,
240.386,1879.416,
237.475,1867.6178,
234.565,1839.6768,
231.654,1771.7512,
228.743,1767.7316,
225.833,1789.4002,
222.922,1819.2007,
220.012,1772.5731,
217.101,1746.5793,
214.191,1723.1356,
211.280,1682.3977,
208.369,1667.2644,
205.459,1672.1548,
202.548,1689.0017,
199.638,1692.63,
196.727,1712.9663,
193.816,1736.4057,
190.906,1755.8513,
187.995,1712.4098,
185.085,1704.4678,
182.174,1706.3026,
179.264,1683.8969,
176.353,1723.0256,
173.442,1750.3631,
170.532,1750.1504,
167.621,1688.1465,
164.711,1674.0028,
161.800,1643.4425,
158.890,1546.999,
155.979,1477.3274,
153.068,1365.4428,
150.158,1218.8462,
147.247,1068.7942,
144.337,884.25475,
141.426,699.78351,
138.516,531.31407,
135.605,366.54825,
132.694,242.58376,
129.784,155.06164,
126.873,102.14203,
123.963,78.855457,
121.052,59.743166,
118.141,35.470499,
115.231,36.796141,
112.320,31.444097,
109.410,23.647711,
106.499,25.072021,
103.589,23.694237,
100.678,17.757431,
97.767,5.6714922,
94.857,8.1469562,
91.946,10.181222,
89.036,11.375,
86.125,11.375,
83.215,9.7822389,
80.304,11.00876,
77.393,18.798629,
74.483,8.8928407,
71.572,3.7373521,
68.662,4.0286625,
65.751,0.49640711,
62.840,3.7103179,
59.930,8.0004276,
57.019,6.5902636,
54.109,5.1806783,
51.198,5.5814371,
48.288,8.3466878,
45.377,4.8297975,
42.466,3.375,
39.556,2.9145257,
36.645,0.10576483,
33.735,-1.6634969,
30.824,-3.0667739,
27.914,-4.4691244,
25.003,2.2240122,
22.092,4.4375727,
19.182,0.375,
16.271,0.375,
13.361,-0.46791595,
10.450,-31.55225,
7.539,-205.43278,
4.629,-400.35924,
1.718,-603.91485,
-1.192,-810.26963,
-4.103,-559.52771,
-7.013,-264.79248,
-9.924,0.375,
