,PL3CE0~1,
Raman shift [1/cm],Intensity,
266.581,4523.9224,
263.670,4631.2587,
260.760,4692.0258,
257.849,4724.3825,
254.939,4739.0602,
252.028,4785.5761,
249.117,4763.506,
246.207,4725.9099,
243.296,4763.2438,
240.386,4678.4431,
237.475,4615.1141,
234.565,4575.2158,
231.654,4486.109,
228.743,4425.2481,
225.833,4354.3086,
222.922,4259.2411,
220.012,4173.2716,
217.101,4139.8521,
214.191,4122.2292,
211.280,4082.2187,
208.369,4027.4434,
205.459,3965.9182,
202.548,3923.0328,
199.638,3991.2438,
196.727,3971.2533,
193.816,3957.6889,
190.906,3983.8945,
187.995,3973.7581,
185.085,4016.117,
182.174,4070.7759,
179.264,4083.7857,
176.353,4047.444,
173.442,4067.9441,
170.532,4137.4697,
167.621,4105.0258,
164.711,4038.9631,
161.800,3946.4531,
158.890,3826.9783,
155.979,3637.7472,
153.068,3399.0722,
150.158,3105.6568,
147.247,2720.1165,
144.337,2319.7414,
141.426,1877.575,
138.516,1375.0342,
135.605,991.91669,
132.694,684.94798,
129.784,449.42488,
126.873,296.38709,
123.963,194.11623,
121.052,127.50198,
118.141,95.376395,
115.231,73.222319,
112.320,57.048189,
109.410,45.204671,
106.499,34.522343,
103.589,38.973054,
100.678,39.089188,
97.767,25.581374,
94.857,25.942989,
91.946,22.622002,
89.036,17.137102,
86.125,16.427897,
83.215,15.71908,
80.304,15.728865,
77.393,17.145205,
74.483,18.56027,
71.572,18.887648,
68.662,17.626593,
65.751,11.268533,
62.840,10.213404,
59.930,11.999145,
57.019,14.819473,
54.109,9.2783915,
51.198,5.8532186,
48.288,7.2952995,
45.377,12.922324,
42.466,12.776684,
39.556,9.5953557,
36.645,11.701926,
33.735,11.211503,
30.824,10.470887,
27.914,11.172062,
25.003,14.985825,
22.092,17.25,
19.182,17.661892,
16.271,30.252714,
13.361,119.5416,
10.450,302.91683,
7.539,696.06838,
4.629,915.97209,
1.718,915.49276,
-1.192,554.37189,
-4.103,304.07305,
-7.013,120.26217,
-9.924,1.25,
