,PLA5FF~1,
Wavenumbers [1/cm],Intensity,
455.769,1423.7519,
452.858,1397.6355,
449.947,1462.5696,
447.037,1444.3235,
444.126,1427.9417,
441.216,1428.922,
438.305,1394.6351,
435.395,1437.7365,
432.484,1437.4531,
429.573,1399.5675,
426.663,1389.6856,
423.752,1311.4615,
420.842,1193.3881,
417.931,1057.5381,
415.020,933.16739,
412.110,1100.0725,
409.199,1276.3223,
406.289,1392.6612,
403.378,1385.688,
400.468,1330.5004,
397.557,1327.7853,
394.646,1351.3021,
391.736,1377.3096,
388.825,1390.8858,
385.915,1399.6647,
383.004,1392.1677,
380.094,1366.0613,
377.183,1428.5168,
374.272,1436.105,
371.362,1450.8325,
368.451,1501.4527,
365.541,1428.6507,
362.630,1427.9934,
359.719,1448.3145,
356.809,1458.1501,
353.898,1446.1693,
350.988,1452.0973,
348.077,1446.8066,
345.167,1415.8589,
342.256,1435.2827,
339.345,1461.6009,
336.435,1474.8783,
333.524,1460.959,
330.614,1431.8979,
327.703,1433.6565,
324.793,1454.4444,
321.882,1484.8227,
318.971,1463.2629,
316.061,1445.1321,
313.150,1440.3417,
310.240,1461.1209,
307.329,1499.0361,
304.418,1538.4965,
301.508,1561.5734,
298.597,1537.8801,
295.687,1541.9702,
292.776,1541.9583,
289.866,1542.39,
286.955,1563.8131,
284.044,1593.44,
281.134,1641.8306,
278.223,1702.1862,
275.313,1731.6604,
272.402,1759.3684,
269.492,1774.2413,
266.581,1766.2536,
263.670,1673.6209,
260.760,1704.3372,
257.849,1775.6088,
254.939,1829.1822,
252.028,1774.1389,
249.117,1738.2565,
246.207,1732.9973,
243.296,1779.8476,
240.386,1780.957,
237.475,1765.8126,
234.565,1751.547,
231.654,1793.9092,
228.743,1762.0239,
225.833,1712.6665,
222.922,1667.4141,
220.012,1636.0863,
217.101,1635.1986,
214.191,1645.3121,
211.280,1646.767,
208.369,1603.1421,
205.459,1568.3005,
202.548,1555.1452,
199.638,1597.2329,
196.727,1554.5918,
193.816,1541.2578,
190.906,1594.5991,
187.995,1501.1999,
185.085,1469.3479,
182.174,1463.8026,
179.264,1441.3969,
176.353,1444.0012,
173.442,1468.2659,
170.532,1493.2739,
167.621,1385.1276,
164.711,1333.2756,
161.800,1269.1289,
158.890,1141.0174,
155.979,1081.4675,
153.068,995.93038,
150.158,884.4992,
147.247,758.85755,
144.337,621.02006,
141.426,475.60523,
138.516,323.62429,
135.605,238.3378,
132.694,170.3936,
129.784,116.09471,
126.873,71.041527,
123.963,48.217317,
121.052,33.908951,
118.141,23.914323,
115.231,14.637585,
112.320,8.7568204,
109.410,6.6931315,
106.499,10.966063,
103.589,7.3929642,
100.678,3.875,
97.767,3.875,
94.857,3.875,
91.946,5.0843326,
89.036,7.1007958,
86.125,8.5192064,
83.215,11.529602,
80.304,9.0863463,
77.393,-5.0770524,
74.483,3.7020244,
71.572,7.7879437,
68.662,5.32086,
65.751,-0.33074862,
62.840,-0.19819207,
59.930,2.6241448,
57.019,5.4444727,
54.109,1.0977132,
51.198,-2.4266093,
48.288,-3.1080127,
45.377,-0.99787847,
42.466,-0.94943868,
39.556,-2.5854743,
36.645,-5.3942352,
33.735,-0.41326688,
30.824,3.7705651,
27.914,0.26468891,
25.003,-6.3513748,
22.092,-8.5104772,
19.182,-4.7588742,
16.271,6.4329679,
13.361,28.154777,
10.450,32.764828,
7.539,-78.267315,
4.629,-360.12424,
1.718,-696.1223,
-1.192,-1018.9002,
-4.103,-803.68848,
-7.013,-444.15873,
-9.924,-0.125,
