,PLAC5E~1,
Wavenumbers [1/cm],Intensity,
397.557,648.69091,
394.646,738.58637,
391.736,860.69593,
388.825,886.33979,
385.915,891.74623,
383.004,887.01957,
380.094,881.9864,
377.183,923.3726,
374.272,957.67178,
371.362,982.76155,
368.451,996.19113,
365.541,984.93309,
362.630,976.95884,
359.719,970.50726,
356.809,965.05624,
353.898,968.05143,
350.988,994.91436,
348.077,1005.5491,
345.167,977.11817,
342.256,962.1768,
339.345,984.44663,
336.435,1004.2663,
333.524,993.91199,
330.614,963.36061,
327.703,973.8978,
324.793,997.77303,
321.882,1011.8209,
318.971,989.51763,
316.061,976.50354,
313.150,981.72974,
310.240,1016.6092,
307.329,1040.7434,
304.418,1058.0822,
301.508,1064.7242,
298.597,1052.8776,
295.687,1024.7854,
292.776,995.20824,
289.866,986.04284,
286.955,1053.2669,
284.044,1088.175,
281.134,1148.0501,
278.223,1222.6116,
275.313,1207.1376,
272.402,1218.3976,
269.492,1209.547,
266.581,1158.3108,
263.670,1024.508,
260.760,1076.2473,
257.849,1178.122,
254.939,1233.1632,
252.028,1242.5611,
249.117,1219.8358,
246.207,1208.3843,
243.296,1283.7841,
240.386,1342.1554,
237.475,1362.3438,
234.565,1349.2292,
231.654,1332.4304,
228.743,1334.0533,
225.833,1321.1057,
222.922,1280.1911,
220.012,1222.6352,
217.101,1199.9493,
214.191,1193.908,
211.280,1187.3608,
208.369,1197.64,
205.459,1177.323,
202.548,1144.0143,
199.638,1173.7659,
196.727,1183.3323,
193.816,1200.0231,
190.906,1229.4467,
187.995,1131.7034,
185.085,1126.7192,
182.174,1150.2561,
179.264,1118.4544,
176.353,1102.0594,
173.442,1108.6522,
170.532,1122.6261,
167.621,1034.6671,
164.711,996.68467,
161.800,937.17973,
158.890,800.43148,
155.979,772.64893,
153.068,712.82776,
150.158,630.32468,
147.247,580.06802,
144.337,505.30412,
141.426,406.22524,
138.516,279.33549,
135.605,195.04574,
132.694,134.17464,
129.784,90.070295,
126.873,50.023024,
123.963,30.493597,
121.052,18.475529,
118.141,9.9087054,
115.231,13.427852,
112.320,12.333184,
109.410,9.8294868,
106.499,14.814573,
103.589,11.953219,
100.678,7.2452698,
97.767,2.9796443,
94.857,2.182011,
91.946,4.6967761,
89.036,8.5363063,
86.125,6.4086905,
83.215,9.5914425,
80.304,9.044077,
77.393,-2.2866419,
74.483,4.0814845,
71.572,4.613831,
68.662,-1.125,
65.751,-1.125,
62.840,-0.16159603,
59.930,1.0622862,
57.019,1.7673682,
54.109,-2.3051259,
51.198,-5.4266093,
48.288,-6.0457258,
45.377,3.8015671,
42.466,4.1650259,
39.556,-1.3552372,
36.645,-2.7596176,
33.735,-3.6442485,
30.824,-4.7876609,
27.914,-6.8911867,
25.003,-5.2570876,
22.092,-4.125,
19.182,-3.8504056,
16.271,4.5434759,
13.361,50.863714,
10.450,106.50969,
7.539,86.956857,
4.629,-80.251042,
1.718,-330.26703,
-1.192,-650.25637,
-4.103,-606.05127,
-7.013,-383.60867,
-9.924,-0.125,
