,PL1E3C~1,
Raman shift [1/cm],Intensity,
275.313,1465.0962,
272.402,1502.9497,
269.492,1546.9123,
266.581,1592.2102,
263.670,1595.1509,
260.760,1586.0747,
257.849,1577.7699,
254.939,1579.9715,
252.028,1584.3431,
249.117,1602.4458,
246.207,1619.5377,
243.296,1610.0212,
240.386,1627.2838,
237.475,1616.6381,
234.565,1585.9556,
231.654,1598.3721,
228.743,1563.6011,
225.833,1552.4644,
222.922,1589.7622,
220.012,1584.6623,
217.101,1558.9549,
214.191,1531.1587,
211.280,1521.7017,
208.369,1524.3641,
205.459,1526.3993,
202.548,1523.1142,
199.638,1500.6191,
196.727,1558.2313,
193.816,1585.6376,
190.906,1542.8984,
187.995,1540.0023,
185.085,1539.4729,
182.174,1538.8247,
179.264,1534.4881,
176.353,1535.9223,
173.442,1539.9005,
170.532,1540.7156,
167.621,1503.9459,
164.711,1479.8097,
161.800,1442.6693,
158.890,1371.4163,
155.979,1285.8346,
153.068,1189.0734,
150.158,1076.349,
147.247,925.57906,
144.337,776.01103,
141.426,622.15708,
138.516,460.85655,
135.605,331.57037,
132.694,228.56599,
129.784,148.57168,
126.873,89.931035,
123.963,60.358826,
121.052,40.484348,
118.141,24.064602,
115.231,28.263422,
112.320,27.034549,
109.410,22.863645,
106.499,22.15149,
103.589,19.758982,
100.678,13.925674,
97.767,3.2616108,
94.857,10.62288,
91.946,9.9688913,
89.036,4.4515916,
86.125,7.2884127,
83.215,5.3453982,
80.304,4.1971634,
77.393,7.7380131,
74.483,2.7589203,
71.572,0.36235211,
68.662,1.2078025,
65.751,3.3271557,
62.840,5.445106,
59.930,7,
57.019,7,
54.109,5.8056783,
51.198,6.2064371,
48.288,8.9773502,
45.377,6.163838,
42.466,6.236658,
39.556,6.9639328,
36.645,0.64422086,
33.735,2.1154908,
30.824,4.1164521,
27.914,1.3117511,
25.003,5.9810998,
22.092,6.093859,
19.182,-0.13729718,
16.271,-4.334238,
13.361,15.915815,
10.450,44.076964,
7.539,32.903918,
4.629,-20.599848,
1.718,-145.61559,
-1.192,-398.67906,
-4.103,-302.17407,
-7.013,-152.11508,
-9.924,1,
