,PLE8F6~1,
Raman shift [1/cm],Intensity,
388.825,1038.0029,
385.915,1009.9849,
383.004,1011.3518,
380.094,1034.8052,
377.183,1060.3894,
374.272,1081.0695,
371.362,1102.2128,
368.451,1127.0501,
365.541,1152.5683,
362.630,1160.5925,
359.719,1151.1411,
356.809,1128.6748,
353.898,1164.6171,
350.988,1173.9575,
348.077,1171.7575,
345.167,1167.3486,
342.256,1164.3604,
339.345,1170.4086,
336.435,1172.0585,
333.524,1161.0872,
330.614,1179.7161,
327.703,1173.6917,
324.793,1170.2337,
321.882,1192.4802,
318.971,1184.3023,
316.061,1171.7337,
313.150,1163.5786,
310.240,1170.2576,
307.329,1201.944,
304.418,1198.9976,
301.508,1169.8661,
298.597,1129.8836,
295.687,1089.929,
292.776,1101.6668,
289.866,1150.7516,
286.955,1189.904,
284.044,1236.6125,
281.134,1283.8281,
278.223,1325.6556,
275.313,1340.3927,
272.402,1360.3462,
269.492,1372.8169,
266.581,1376.7056,
263.670,1421.5516,
260.760,1421.9628,
257.849,1414.8627,
254.939,1427.3387,
252.028,1444.8723,
249.117,1461.0934,
246.207,1469.4694,
243.296,1457.7568,
240.386,1437.5632,
237.475,1430.9577,
234.565,1433.6241,
231.654,1415.3646,
228.743,1399.9926,
225.833,1401.2567,
222.922,1421.2238,
220.012,1372.4106,
217.101,1354.5371,
214.191,1353.3742,
211.280,1356.2841,
208.369,1356.5,
205.459,1346.1195,
202.548,1331.3774,
199.638,1336.457,
196.727,1364.5821,
193.816,1364.3315,
190.906,1318.9983,
187.995,1361.7157,
185.085,1363.26,
182.174,1357.3148,
179.264,1389.8392,
176.353,1358.2572,
173.442,1345.026,
170.532,1351.1235,
167.621,1304.9811,
164.711,1279.3608,
161.800,1250.2965,
158.890,1199.9155,
155.979,1192.0223,
153.068,1099.4957,
150.158,950.74298,
147.247,858.12714,
144.337,694.1867,
141.426,532.39995,
138.516,406.94399,
135.605,287.27362,
132.694,202.89952,
129.784,143.21105,
126.873,85.285534,
123.963,59.842317,
121.052,42.417769,
118.141,24.570219,
115.231,23.78943,
112.320,26.889087,
109.410,30.272803,
106.499,23.863406,
103.589,17.45771,
100.678,10.783783,
97.767,3.6744072,
94.857,6.2719562,
91.946,7.0968891,
89.036,6.6128979,
86.125,7.3221032,
83.215,9.6236814,
80.304,11.739433,
77.393,12.447603,
74.483,4.6383805,
71.572,2.3117606,
68.662,5.22293,
65.751,2.3971257,
62.840,0.53659603,
59.930,1.7474344,
57.019,10.208418,
54.109,7.9170349,
51.198,4.2935629,
48.288,1.5056624,
45.377,2.2090405,
42.466,0.85112264,
39.556,-1.7302372,
36.645,-3.1346176,
33.735,1.6924847,
30.824,2.9658084,
27.914,-8.2529955,
25.003,0.46219961,
22.092,4.8854772,
19.182,1.4771171,
16.271,0.777627,
13.361,8.5077016,
10.450,10.605958,
7.539,-41.069379,
4.629,-86.512148,
1.718,-184.28001,
-1.192,-405.27483,
-4.103,-316.82746,
-7.013,-167.92659,
-9.924,0.5,
