,PLE5C1~1,
Wavenumbers [1/cm],Intensity,
516.891,990.06199,
513.980,988.5134,
511.070,1020.0706,
508.159,1027.6442,
505.248,1018.1203,
502.338,1008.6461,
499.427,1017.9081,
496.517,1034.5164,
493.606,1034.9438,
490.695,1019.9382,
487.785,1059.9673,
484.874,1068.9599,
481.964,1050.4416,
479.053,1018.6978,
476.143,1003.3386,
473.232,1022.5183,
470.321,1026.4824,
467.411,1022.375,
464.500,1022.4332,
461.590,1024.7304,
458.679,1027.0259,
455.769,1017.9779,
452.858,1001.8969,
449.947,1064.5392,
447.037,1051.2843,
444.126,1033.2659,
441.216,1033.7562,
438.305,1047.471,
435.395,1055.9314,
432.484,1055.2075,
429.573,1041.9199,
426.663,1009.994,
423.752,917.40794,
420.842,822.20262,
417.931,735.3364,
415.020,664.8091,
412.110,772.84858,
409.199,926.82231,
406.289,1037.0117,
403.378,1011.3186,
400.468,994.68677,
397.557,1005.3136,
394.646,1020.9137,
391.736,1023.9686,
388.825,1073.7478,
385.915,1074.0058,
383.004,1064.516,
380.094,1071.9911,
377.183,1064.4663,
374.272,1076.4873,
371.362,1089.8466,
368.451,1092.144,
365.541,1071.8796,
362.630,1082.7622,
359.719,1097.8548,
356.809,1100.1063,
353.898,1079.14,
350.988,1077.7149,
348.077,1084.5695,
345.167,1092.0723,
342.256,1086.0957,
339.345,1077.4664,
336.435,1081.3683,
333.524,1107.5394,
330.614,1112.7555,
327.703,1135.4246,
324.793,1147.8991,
321.882,1126.4093,
318.971,1140.5347,
316.061,1138.0503,
313.150,1141.2297,
310.240,1176.1092,
307.329,1250.9826,
304.418,1264.4166,
301.508,1249.9042,
298.597,1266.9338,
295.687,1283.9515,
292.776,1287.2083,
289.866,1298.501,
286.955,1379.7608,
284.044,1410.9825,
281.134,1477.5479,
278.223,1572.1295,
275.313,1577.2875,
272.402,1565.5951,
269.492,1573.1682,
266.581,1605.749,
263.670,1555.0216,
260.760,1588.9566,
257.849,1650.0558,
254.939,1697.7581,
252.028,1688.2412,
249.117,1652.3971,
246.207,1623.6561,
243.296,1659.5259,
240.386,1649.0092,
237.475,1648.6746,
234.565,1653.0128,
231.654,1606.2683,
228.743,1586.0184,
225.833,1561.6057,
222.922,1521.3706,
220.012,1478.3858,
217.101,1483.5129,
214.191,1485.0159,
211.280,1423.9091,
208.369,1418.7022,
205.459,1402.8042,
202.548,1383.5115,
199.638,1407.4579,
196.727,1363.9729,
193.816,1339.2118,
190.906,1362.2164,
187.995,1300.6744,
185.085,1273.2279,
182.174,1278.3239,
179.264,1322.4126,
176.353,1269.0641,
173.442,1264.292,
170.532,1305.7304,
167.621,1240.1216,
164.711,1189.7898,
161.800,1129.4087,
158.890,1038.723,
155.979,1011.0948,
153.068,923.68972,
150.158,792.41933,
147.247,686.88034,
144.337,588.09369,
141.426,475.60238,
138.516,337.95926,
135.605,246.46631,
132.694,175.8936,
129.784,121.59471,
126.873,76.541527,
123.963,52.579177,
121.052,35.142637,
118.141,19.436793,
115.231,19.375,
112.320,14.715005,
109.410,9.1931315,
106.499,13.466063,
103.589,13.254491,
100.678,10.473648,
97.767,5.497085,
94.857,5.375,
91.946,7.3905544,
89.036,9.5847146,
86.125,4.6202777,
83.215,6.0296018,
80.304,5.0229424,
77.393,-4.8914367,
74.483,-0.38392034,
71.572,2.0126479,
68.662,1.3057325,
65.751,0.59928142,
62.840,3.2652119,
59.930,5.0639966,
57.019,0.12842272,
54.109,-2.4164825,
51.198,-2.1169536,
48.288,1.3636751,
45.377,-0.043081017,
42.466,0.61165802,
39.556,1.9145257,
36.645,-0.89423517,
33.735,1.4904908,
30.824,1.9452433,
27.914,-5.7676844,
25.003,-6.0023625,
22.092,-5.625,
19.182,-5.7394143,
16.271,-9.236865,
13.361,-21.582907,
10.450,-85.782611,
7.539,-371.3936,
4.629,-877.27268,
1.718,-1328.6648,
-1.192,-1482.0366,
-4.103,-1076.864,
-7.013,-558.19101,
-9.924,1.375,
